Department,RC_Name,CST_NAME,CURRENT,PLANNED,VAR
Bronx Property Management,Forest Consolidation,HSG MGR,1 ,1 ,0 
Bronx Property Management,Forest Consolidation,MAINT WORKER,8 ,7 ,1 
Bronx Property Management,Forest Consolidation,RES BLDG SUPT,1 ,,1 
Bronx Property Management,Forest Consolidation,SECY,2 ,1 ,1 
Bronx Property Management,Forest Consolidation,SUPV HSG CRTKR,2 ,2 ,0 
Bronx Property Management,Forest Consolidation,SUPV HSG GDKPR,1 ,1 ,0 
Bronx Property Management,Forest Consolidation Total,,60 ,55 ,5 
Bronx Property Management,Fort Independence Consolidated,AST RES BLDG SP,1 ,1 ,0 
Bronx Property Management,Fort Independence Consolidated,CARETAKER HA,13 ,15 ,(2)
Bronx Property Management,Fort Independence Consolidated,CLERICAL ASO,1 ,1 ,0 
Bronx Property Management,Fort Independence Consolidated,HSG AST,2 ,2 ,0 
Bronx Property Management,Fort Independence Consolidated,HSG MGR,1 ,,1 
Bronx Property Management,Fort Independence Consolidated,MAINT WORKER,3 ,2 ,1 
Bronx Property Management,Fort Independence Consolidated,RES BLDG SUPT,1 ,2 ,(1)
Bronx Property Management,Fort Independence Consolidated,SECY,1 ,1 ,0 
Bronx Property Management,Fort Independence Consolidated,SUPV HSG CRTKR,1 ,,1 
Bronx Property Management,Fort Independence Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Bronx Property Management,Fort Independence Consolidated Total,,25 ,25 ,0 
Bronx Property Management,Gun Hill,AST RES BLDG SP,1 ,1 ,0 
Bronx Property Management,Gun Hill,CARETAKER HA,15 ,16 ,(1)
Bronx Property Management,Gun Hill,HSG AST,2 ,2 ,0 
Bronx Property Management,Gun Hill,HSG MGR,1 ,1 ,0 
Bronx Property Management,Gun Hill,MAINT WORKER,3 ,3 ,0 
Bronx Property Management,Gun Hill,RES BLDG SUPT,1 ,1 ,0 
Bronx Property Management,Gun Hill,SECY,2 ,1 ,1 
Bronx Property Management,Gun Hill,SUPV HSG CRTKR,1 ,1 ,0 
Bronx Property Management,Gun Hill,SUPV HSG GDKPR,1 ,1 ,0 
Bronx Property Management,Gun Hill Total,,27 ,27 ,0 
Bronx Property Management,Highbridge Gardens,AST RES BLDG SP,1 ,1 ,0 
Bronx Property Management,Highbridge Gardens,CARETAKER HA,14 ,17 ,(3)
Bronx Property Management,Highbridge Gardens,HSG AST,2 ,2 ,0 
Bronx Property Management,Highbridge Gardens,HSG MGR,1 ,,1 
Bronx Property Management,Highbridge Gardens,MAINT WORKER,3 ,3 ,0 
Bronx Property Management,Highbridge Gardens,RES BLDG SUPT,1 ,1 ,0 
Bronx Property Management,Highbridge Gardens,SECY,2 ,2 ,0 
Bronx Property Management,Highbridge Gardens,SUPV HSG CRTKR,1 ,1 ,0 
Bronx Property Management,Highbridge Gardens,SUPV HSG GDKPR,1 ,1 ,0 
Bronx Property Management,Highbridge Gardens Total,,26 ,28 ,(2)
Bronx Property Management,Justice Sonia Sotomayor  Consolidated,AST HSG MGR,1 ,1 ,0 
Bronx Property Management,Justice Sonia Sotomayor  Consolidated,AST RES BLDG SP,2 ,2 ,0 
Bronx Property Management,Justice Sonia Sotomayor  Consolidated,CARETAKER HA,29 ,25 ,4 
Bronx Property Management,Justice Sonia Sotomayor  Consolidated,CHIEF CARETAKER,1 ,1 ,0 
Bronx Property Management,Justice Sonia Sotomayor  Consolidated,CLERICAL ASO,1 ,1 ,0 
Bronx Property Management,Justice Sonia Sotomayor  Consolidated,HSG AST,4 ,4 ,0 
Bronx Property Management,Justice Sonia Sotomayor  Consolidated,HSG MGR,1 ,1 ,0 
Bronx Property Management,Justice Sonia Sotomayor  Consolidated,MAINT WORKER,8 ,7 ,1 
Bronx Property Management,Justice Sonia Sotomayor  Consolidated,RES BLDG SUPT,1 ,,1 
Bronx Property Management,Justice Sonia Sotomayor  Consolidated,SECY,1 ,,1 
Bronx Property Management,Justice Sonia Sotomayor  Consolidated,SUPV HSG CRTKR,2 ,2 ,0 
Bronx Property Management,Justice Sonia Sotomayor  Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Bronx Property Management,Justice Sonia Sotomayor  Consolidated Total,,52 ,45 ,7 
Bronx Property Management,Monroe,AST HSG MGR,1 ,1 ,0 
Bronx Property Management,Monroe,AST RES BLDG SP,1 ,1 ,0 
Bronx Property Management,Monroe,CARETAKER HA,20 ,20 ,0 
Bronx Property Management,Monroe,HSG AST,3 ,3 ,0 
Bronx Property Management,Monroe,HSG MGR,1 ,1 ,0 
Bronx Property Management,Monroe,MAINT WORKER,5 ,5 ,0 
Bronx Property Management,Monroe,RES BLDG SUPT,1 ,1 ,0 
Bronx Property Management,Monroe,SECY,2 ,2 ,0 
Bronx Property Management,Monroe,SUPV HSG CRTKR,1 ,1 ,0 
Bronx Property Management,Monroe,SUPV HSG GDKPR,1 ,1 ,0 
Bronx Property Management,Monroe Total,,36 ,36 ,0 
Bronx Property Management,Morris Consolidated,AST HSG MGR,2 ,1 ,1 
Bronx Property Management,Morris Consolidated,AST RES BLDG SP,2 ,1 ,1 
Bronx Property Management,Morris Consolidated,CARETAKER HA,31 ,34 ,(3)
Bronx Property Management,Morris Consolidated,HSG AST,5 ,3 ,2 
Bronx Property Management,Morris Consolidated,HSG MGR,1 ,1 ,0 
Bronx Property Management,Morris Consolidated,MAINT WORKER,8 ,8 ,0 
Bronx Property Management,Morris Consolidated,RES BLDG SUPT,1 ,2 ,(1)
Bronx Property Management,Morris Consolidated,SECY,2 ,1 ,1 
Bronx Property Management,Morris Consolidated,SUPV HSG CRTKR,2 ,2 ,0 
Bronx Property Management,Morris Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Bronx Property Management,Morris Consolidated Total,,55 ,54 ,1 
Bronx Property Management,Morrisania Consolidated,AST HSG MGR,1 ,1 ,0 
Bronx Property Management,Morrisania Consolidated,AST RES BLDG SP,2 ,2 ,0 
Bronx Property Management,Morrisania Consolidated,CARETAKER HA,30 ,28 ,2 
Bronx Property Management,Morrisania Consolidated,HSG AST,4 ,5 ,(1)
Bronx Property Management,Morrisania Consolidated,HSG MGR,1 ,1 ,0 
Bronx Property Management,Morrisania Consolidated,MAINT WORKER,7 ,6 ,1 
Bronx Property Management,Morrisania Consolidated,RES BLDG SUPT,1 ,,1 
Bronx Property Management,Morrisania Consolidated,SECY,2 ,1 ,1 
Bronx Property Management,Morrisania Consolidated,SUPV HSG CRTKR,2 ,2 ,0 
