Department,RC_Name,CST_NAME,CURRENT,PLANNED,VAR
Brooklyn Property Management,Farragut Total,,43 ,41 ,2 
Brooklyn Property Management,Garvey Consolidated,AST RES BLDG SP,1 ,1 ,0 
Brooklyn Property Management,Garvey Consolidated,CARETAKER HA,15 ,17 ,(2)
Brooklyn Property Management,Garvey Consolidated,CLERICAL ASO,1 ,,1 
Brooklyn Property Management,Garvey Consolidated,HSG AST,2 ,2 ,0 
Brooklyn Property Management,Garvey Consolidated,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Garvey Consolidated,MAINT WORKER,3 ,2 ,1 
Brooklyn Property Management,Garvey Consolidated,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Garvey Consolidated,SECY,1 ,1 ,0 
Brooklyn Property Management,Garvey Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Brooklyn Property Management,Garvey Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Brooklyn Property Management,Garvey Consolidated Total,,27 ,27 ,0 
Brooklyn Property Management,Glenwood,AST HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Glenwood,AST RES BLDG SP,1 ,1 ,0 
Brooklyn Property Management,Glenwood,CARETAKER HA,22 ,24 ,(2)
Brooklyn Property Management,Glenwood,HSG AST,3 ,3 ,0 
Brooklyn Property Management,Glenwood,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Glenwood,MAINT WORKER,5 ,3 ,2 
Brooklyn Property Management,Glenwood,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Glenwood,SECY,2 ,1 ,1 
Brooklyn Property Management,Glenwood,SUPV HSG CRTKR,1 ,1 ,0 
Brooklyn Property Management,Glenwood,SUPV HSG GDKPR,1 ,1 ,0 
Brooklyn Property Management,Glenwood Total,,38 ,37 ,1 
Brooklyn Property Management,Gowanus,AST HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Gowanus,AST RES BLDG SP,1 ,1 ,0 
Brooklyn Property Management,Gowanus,CARETAKER HA,21 ,22 ,(1)
Brooklyn Property Management,Gowanus,CLERICAL ASO,1 ,1 ,0 
Brooklyn Property Management,Gowanus,HSG AST,3 ,3 ,0 
Brooklyn Property Management,Gowanus,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Gowanus,MAINT WORKER,5 ,5 ,0 
Brooklyn Property Management,Gowanus,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Gowanus,SECY,1 ,1 ,0 
Brooklyn Property Management,Gowanus,SUPV HSG CRTKR,1 ,1 ,0 
Brooklyn Property Management,Gowanus,SUPV HSG GDKPR,1 ,1 ,0 
Brooklyn Property Management,Gowanus Total,,37 ,38 ,(1)
Brooklyn Property Management,Ingersoll,AST HSG MGR,2 ,2 ,0 
Brooklyn Property Management,Ingersoll,AST RES BLDG SP,2 ,2 ,0 
Brooklyn Property Management,Ingersoll,CARETAKER HA,32 ,32 ,0 
Brooklyn Property Management,Ingersoll,HSG AST,5 ,4 ,1 
Brooklyn Property Management,Ingersoll,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Ingersoll,MAINT WORKER,7 ,6 ,1 
Brooklyn Property Management,Ingersoll,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Ingersoll,SECY,2 ,3 ,(1)
Brooklyn Property Management,Ingersoll,SUPV HSG CRTKR,2 ,2 ,0 
Brooklyn Property Management,Ingersoll,SUPV HSG GDKPR,1 ,1 ,0 
Brooklyn Property Management,Ingersoll Total,,55 ,54 ,1 
Brooklyn Property Management,Kingsborough Consolidated,AST HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Kingsborough Consolidated,AST RES BLDG SP,1 ,1 ,0 
Brooklyn Property Management,Kingsborough Consolidated,CARETAKER HA,25 ,26 ,(1)
Brooklyn Property Management,Kingsborough Consolidated,HSG AST,3 ,3 ,0 
Brooklyn Property Management,Kingsborough Consolidated,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Kingsborough Consolidated,MAINT WORKER,5 ,5 ,0 
Brooklyn Property Management,Kingsborough Consolidated,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Kingsborough Consolidated,SECY,2 ,1 ,1 
Brooklyn Property Management,Kingsborough Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Brooklyn Property Management,Kingsborough Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Brooklyn Property Management,Kingsborough Consolidated Total,,41 ,41 ,0 
Brooklyn Property Management,Lafayette,AST RES BLDG SP,1 ,1 ,0 
Brooklyn Property Management,Lafayette,CARETAKER HA,17 ,17 ,0 
Brooklyn Property Management,Lafayette,HSG AST,2 ,2 ,0 
Brooklyn Property Management,Lafayette,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Lafayette,MAINT WORKER,4 ,3 ,1 
Brooklyn Property Management,Lafayette,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Lafayette,SECY,2 ,2 ,0 
Brooklyn Property Management,Lafayette,SUPV HSG CRTKR,1 ,1 ,0 
Brooklyn Property Management,Lafayette,SUPV HSG GDKPR,1 ,1 ,0 
Brooklyn Property Management,Lafayette Total,,30 ,29 ,1 
Brooklyn Property Management,Marcy,AST HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Marcy,AST RES BLDG SP,2 ,2 ,0 
Brooklyn Property Management,Marcy,CARETAKER HA,30 ,29 ,1 
Brooklyn Property Management,Marcy,HSG AST,4 ,3 ,1 
Brooklyn Property Management,Marcy,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Marcy,MAINT WORKER,7 ,6 ,1 
Brooklyn Property Management,Marcy,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Marcy,SECY,2 ,2 ,0 
Brooklyn Property Management,Marcy,SUPV HSG CRTKR,2 ,2 ,0 
Brooklyn Property Management,Marcy,SUPV HSG GDKPR,1 ,1 ,0 
Brooklyn Property Management,Marcy Total,,51 ,48 ,3 
Brooklyn Property Management,Ocean Hill Consolidated,AST RES BLDG SP,1 ,1 ,0 
Brooklyn Property Management,Ocean Hill Consolidated,CARETAKER HA,14 ,17 ,(3)
Brooklyn Property Management,Ocean Hill Consolidated,HSG AST,2 ,2 ,0 
Brooklyn Property Management,Ocean Hill Consolidated,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Ocean Hill Consolidated,MAINT WORKER,2 ,2 ,0 
Brooklyn Property Management,Ocean Hill Consolidated,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Ocean Hill Consolidated,SECY,2 ,2 ,0 
Brooklyn Property Management,Ocean Hill Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Brooklyn Property Management,Ocean Hill Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Brooklyn Property Management,Ocean Hill Consolidated Total,,25 ,28 ,(3)
Brooklyn Property Management,O'dwyer Gardens Consolidated,AST HSG MGR,1 ,1 ,0 
Brooklyn Property Management,O'dwyer Gardens Consolidated,AST RES BLDG SP,2 ,2 ,0 
Brooklyn Property Management,O'dwyer Gardens Consolidated,CARETAKER HA,25 ,26 ,(1)
Brooklyn Property Management,O'dwyer Gardens Consolidated,CITY ATTENDANT,1 ,1 ,0 
Brooklyn Property Management,O'dwyer Gardens Consolidated,HSG AST,3 ,1 ,2 
Brooklyn Property Management,O'dwyer Gardens Consolidated,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,O'dwyer Gardens Consolidated,MAINT WORKER,6 ,5 ,1 
Brooklyn Property Management,O'dwyer Gardens Consolidated,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,O'dwyer Gardens Consolidated,SECY,1 ,1 ,0 
Brooklyn Property Management,O'dwyer Gardens Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Brooklyn Property Management,O'dwyer Gardens Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Brooklyn Property Management,O'dwyer Gardens Consolidated Total,,43 ,41 ,2 
Brooklyn Property Management,Park Rock Consolidated,AST HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Park Rock Consolidated,AST RES BLDG SP,2 ,2 ,0 
Brooklyn Property Management,Park Rock Consolidated,CARETAKER HA,18 ,20 ,(2)
Brooklyn Property Management,Park Rock Consolidated,CHIEF CARETAKER,2 ,1 ,1 
Brooklyn Property Management,Park Rock Consolidated,HSG AST,2 ,2 ,0 
Brooklyn Property Management,Park Rock Consolidated,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Park Rock Consolidated,MAINT WORKER,5 ,3 ,2 
Brooklyn Property Management,Park Rock Consolidated,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Park Rock Consolidated,SECY,2 ,1 ,1 
Brooklyn Property Management,Park Rock Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Brooklyn Property Management,Park Rock Consolidated,SUPV HSG GDKPR,1 ,,1 
Brooklyn Property Management,Park Rock Consolidated Total,,36 ,33 ,3 
Brooklyn Property Management,Pennsylvania Ave - Wortman Ave Consolidated,AST RES BLDG SP,1 ,1 ,0 
Brooklyn Property Management,Pennsylvania Ave - Wortman Ave Consolidated,CARETAKER HA,13 ,17 ,(4)
Brooklyn Property Management,Pennsylvania Ave - Wortman Ave Consolidated,HSG AST,2 ,2 ,0 
Brooklyn Property Management,Pennsylvania Ave - Wortman Ave Consolidated,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Pennsylvania Ave - Wortman Ave Consolidated,MAINT WORKER,3 ,3 ,0 
Brooklyn Property Management,Pennsylvania Ave - Wortman Ave Consolidated,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Pennsylvania Ave - Wortman Ave Consolidated,SECY,2 ,2 ,0 
Brooklyn Property Management,Pennsylvania Ave - Wortman Ave Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Brooklyn Property Management,Pennsylvania Ave - Wortman Ave Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Brooklyn Property Management,Pennsylvania Ave - Wortman Ave Consolidated Total,,25 ,29 ,(4)
Brooklyn Property Management,Pink,AST HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Pink,AST RES BLDG SP,2 ,1 ,1 
Brooklyn Property Management,Pink,CARETAKER HA,28 ,29 ,(1)
Brooklyn Property Management,Pink,HSG AST,4 ,4 ,0 
Brooklyn Property Management,Pink,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Pink,MAINT WORKER,6 ,3 ,3 
Brooklyn Property Management,Pink,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Pink,SECY,2 ,1 ,1 
Brooklyn Property Management,Pink,SUPV HSG CRTKR,1 ,1 ,0 
Brooklyn Property Management,Pink,SUPV HSG GDKPR,1 ,1 ,0 
Brooklyn Property Management,Pink Total,,47 ,43 ,4 
Brooklyn Property Management,Red Hook East,AST HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Red Hook East,AST RES BLDG SP,2 ,1 ,1 
Brooklyn Property Management,Red Hook East,CARETAKER HA,24 ,26 ,(2)
Brooklyn Property Management,Red Hook East,CHIEF CARETAKER,1 ,,1 
Brooklyn Property Management,Red Hook East,HSG AST,4 ,4 ,0 
Brooklyn Property Management,Red Hook East,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Red Hook East,MAINT WORKER,6 ,4 ,2 
Brooklyn Property Management,Red Hook East,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Red Hook East,SECY,2 ,1 ,1 
Brooklyn Property Management,Red Hook East,SUPV HSG CRTKR,1 ,1 ,0 
Brooklyn Property Management,Red Hook East,SUPV HSG GDKPR,1 ,,1 
Brooklyn Property Management,Red Hook East Total,,44 ,40 ,4 
Brooklyn Property Management,Red Hook West,AST HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Red Hook West,AST RES BLDG SP,2 ,2 ,0 
Brooklyn Property Management,Red Hook West,CARETAKER HA,25 ,21 ,4 
Brooklyn Property Management,Red Hook West,HSG AST,4 ,4 ,0 
Brooklyn Property Management,Red Hook West,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Red Hook West,MAINT WORKER,6 ,5 ,1 
Brooklyn Property Management,Red Hook West,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Red Hook West,SECY,2 ,2 ,0 
Brooklyn Property Management,Red Hook West,SUPV HSG CRTKR,1 ,1 ,0 
Brooklyn Property Management,Red Hook West,SUPV HSG GDKPR,1 ,1 ,0 
Brooklyn Property Management,Red Hook West Total,,44 ,39 ,5 
Brooklyn Property Management,Reid Apartments Consolidated,AST HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Reid Apartments Consolidated,AST RES BLDG SP,2 ,1 ,1 
Brooklyn Property Management,Reid Apartments Consolidated,CARETAKER HA,16 ,15 ,1 
Brooklyn Property Management,Reid Apartments Consolidated,HSG AST,3 ,1 ,2 
Brooklyn Property Management,Reid Apartments Consolidated,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Reid Apartments Consolidated,MAINT WORKER,4 ,4 ,0 
Brooklyn Property Management,Reid Apartments Consolidated,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Reid Apartments Consolidated,SECY,2 ,2 ,0 
Brooklyn Property Management,Reid Apartments Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Brooklyn Property Management,Reid Apartments Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Brooklyn Property Management,Reid Apartments Consolidated Total,,32 ,28 ,4 
Brooklyn Property Management,Roosevelt Consolidated,AST HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Roosevelt Consolidated,AST RES BLDG SP,1 ,1 ,0 
Brooklyn Property Management,Roosevelt Consolidated,CARETAKER HA,20 ,20 ,0 
Brooklyn Property Management,Roosevelt Consolidated,HSG AST,3 ,2 ,1 
Brooklyn Property Management,Roosevelt Consolidated,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Roosevelt Consolidated,MAINT WORKER,5 ,4 ,1 
Brooklyn Property Management,Roosevelt Consolidated,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Roosevelt Consolidated,SECY,2 ,2 ,0 
Brooklyn Property Management,Roosevelt Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Brooklyn Property Management,Roosevelt Consolidated,SUPV HSG GDKPR,1 ,,1 
Brooklyn Property Management,Roosevelt Consolidated Total,,36 ,33 ,3 
Brooklyn Property Management,Sheepshead Bay Consolidated,AST HSG MGR,2 ,,2 
Brooklyn Property Management,Sheepshead Bay Consolidated,AST RES BLDG SP,2 ,1 ,1 
Brooklyn Property Management,Sheepshead Bay Consolidated,CARETAKER HA,37 ,36 ,1 
Brooklyn Property Management,Sheepshead Bay Consolidated,CLERICAL ASO,1 ,1 ,0 
Brooklyn Property Management,Sheepshead Bay Consolidated,HSG AST,6 ,6 ,0 
Brooklyn Property Management,Sheepshead Bay Consolidated,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Sheepshead Bay Consolidated,MAINT WORKER,9 ,8 ,1 
Brooklyn Property Management,Sheepshead Bay Consolidated,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Sheepshead Bay Consolidated,SECY,2 ,2 ,0 
Brooklyn Property Management,Sheepshead Bay Consolidated,SUPV HSG CRTKR,2 ,2 ,0 
Brooklyn Property Management,Sheepshead Bay Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Brooklyn Property Management,Sheepshead Bay Consolidated Total,,64 ,59 ,5 
Brooklyn Property Management,Stuyvesant Gardens Consolidated,AST RES BLDG SP,1 ,1 ,0 
Brooklyn Property Management,Stuyvesant Gardens Consolidated,CARETAKER HA,13 ,13 ,0 
Brooklyn Property Management,Stuyvesant Gardens Consolidated,HSG AST,2 ,2 ,0 
Brooklyn Property Management,Stuyvesant Gardens Consolidated,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Stuyvesant Gardens Consolidated,MAINT WORKER,3 ,3 ,0 
Brooklyn Property Management,Stuyvesant Gardens Consolidated,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Stuyvesant Gardens Consolidated,SECY,2 ,2 ,0 
Brooklyn Property Management,Stuyvesant Gardens Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Brooklyn Property Management,Stuyvesant Gardens Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Brooklyn Property Management,Stuyvesant Gardens Consolidated Total,,25 ,25 ,0 
Brooklyn Property Management,Sumner Consolidated,AST HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Sumner Consolidated,AST RES BLDG SP,2 ,2 ,0 
Brooklyn Property Management,Sumner Consolidated,CARETAKER HA,27 ,25 ,2 
Brooklyn Property Management,Sumner Consolidated,CLERICAL ASO,1 ,1 ,0 
Brooklyn Property Management,Sumner Consolidated,HSG AST,3 ,3 ,0 
Brooklyn Property Management,Sumner Consolidated,HSG AST BILINGL,1 ,1 ,0 
Brooklyn Property Management,Sumner Consolidated,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Sumner Consolidated,MAINT WORKER,6 ,3 ,3 
Brooklyn Property Management,Sumner Consolidated,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Sumner Consolidated,SECY,1 ,1 ,0 
Brooklyn Property Management,Sumner Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Brooklyn Property Management,Sumner Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Brooklyn Property Management,Sumner Consolidated Total,,46 ,41 ,5 
Brooklyn Property Management,Surfside Gardens Consolidated,AST HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Surfside Gardens Consolidated,AST RES BLDG SP,2 ,2 ,0 
Brooklyn Property Management,Surfside Gardens Consolidated,CARETAKER HA,27 ,25 ,2 
Brooklyn Property Management,Surfside Gardens Consolidated,HSG AST,4 ,3 ,1 
Brooklyn Property Management,Surfside Gardens Consolidated,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Surfside Gardens Consolidated,MAINT WORKER,7 ,5 ,2 
Brooklyn Property Management,Surfside Gardens Consolidated,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Surfside Gardens Consolidated,SECY,2 ,2 ,0 
Brooklyn Property Management,Surfside Gardens Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Brooklyn Property Management,Surfside Gardens Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Brooklyn Property Management,Surfside Gardens Consolidated Total,,47 ,42 ,5 
Brooklyn Property Management,Tompkins Consolidated,AST HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Tompkins Consolidated,AST RES BLDG SP,1 ,1 ,0 
Brooklyn Property Management,Tompkins Consolidated,CARETAKER HA,19 ,24 ,(5)
Brooklyn Property Management,Tompkins Consolidated,HSG AST,3 ,3 ,0 
Brooklyn Property Management,Tompkins Consolidated,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Tompkins Consolidated,MAINT WORKER,5 ,4 ,1 
Brooklyn Property Management,Tompkins Consolidated,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Tompkins Consolidated,SECY,2 ,1 ,1 
Brooklyn Property Management,Tompkins Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Brooklyn Property Management,Tompkins Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Brooklyn Property Management,Tompkins Consolidated Total,,35 ,38 ,(3)
Brooklyn Property Management,Whitman,AST HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Whitman,AST RES BLDG SP,2 ,1 ,1 
Brooklyn Property Management,Whitman,CARETAKER HA,29 ,26 ,3 
Brooklyn Property Management,Whitman,CITY ATTENDANT,1 ,1 ,0 
Brooklyn Property Management,Whitman,CLERICAL ASO,1 ,1 ,0 
Brooklyn Property Management,Whitman,HSG AST,4 ,3 ,1 
Brooklyn Property Management,Whitman,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Whitman,MAINT WORKER,7 ,7 ,0 
Brooklyn Property Management,Whitman,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Whitman,SUPV HSG CRTKR,2 ,2 ,0 
Brooklyn Property Management,Whitman,SUPV HSG GDKPR,1 ,1 ,0 
Brooklyn Property Management,Whitman Total,,50 ,45 ,5 
Brooklyn Property Management,Williamsburg,AST HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Williamsburg,AST RES BLDG SP,2 ,2 ,0 
Brooklyn Property Management,Williamsburg,CARETAKER HA,30 ,29 ,1 
Brooklyn Property Management,Williamsburg,HSG AST,4 ,4 ,0 
Brooklyn Property Management,Williamsburg,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Williamsburg,MAINT WORKER,7 ,6 ,1 
Brooklyn Property Management,Williamsburg,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Williamsburg,SECY,2 ,2 ,0 
Brooklyn Property Management,Williamsburg,SUPV HSG CRTKR,2 ,2 ,0 
Brooklyn Property Management,Williamsburg,SUPV HSG GDKPR,1 ,1 ,0 
Brooklyn Property Management,Williamsburg Total,,51 ,49 ,2 
Brooklyn Property Management,Wyckoff Gardens Consolidated,AST HSG MGR,,1 ,(1)
Brooklyn Property Management,Wyckoff Gardens Consolidated,AST RES BLDG SP,1 ,1 ,0 
Brooklyn Property Management,Wyckoff Gardens Consolidated,CARETAKER HA,16 ,18 ,(2)
Brooklyn Property Management,Wyckoff Gardens Consolidated,HSG AST,2 ,3 ,(1)
Brooklyn Property Management,Wyckoff Gardens Consolidated,HSG MGR,1 ,1 ,0 
Brooklyn Property Management,Wyckoff Gardens Consolidated,MAINT WORKER,4 ,5 ,(1)
Brooklyn Property Management,Wyckoff Gardens Consolidated,RES BLDG SUPT,1 ,1 ,0 
Brooklyn Property Management,Wyckoff Gardens Consolidated,SECY,2 ,1 ,1 
Brooklyn Property Management,Wyckoff Gardens Consolidated,SUPV HSG CRTKR,1 ,1 ,0 
Brooklyn Property Management,Wyckoff Gardens Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Brooklyn Property Management,Wyckoff Gardens Consolidated Total,,29 ,33 ,(4)
Brooklyn Property Management Total,,,"1,265 ","1,224 ",41 
Manhattan Property Management,Baruch Consolidated,AST HSG MGR,2 ,2 ,0 
Manhattan Property Management,Baruch Consolidated,AST RES BLDG SP,2 ,1 ,1 
Manhattan Property Management,Baruch Consolidated,CARETAKER HA,41 ,33 ,8 
Manhattan Property Management,Baruch Consolidated,HSG AST,6 ,5 ,1 
Manhattan Property Management,Baruch Consolidated,HSG MGR,1 ,1 ,0 
Manhattan Property Management,Baruch Consolidated,MAINT WORKER,10 ,9 ,1 
Manhattan Property Management,Baruch Consolidated,RES BLDG SUPT,1 ,1 ,0 
Manhattan Property Management,Baruch Consolidated,SECY,3 ,3 ,0 
Manhattan Property Management,Baruch Consolidated,SUPV HSG CRTKR,2 ,2 ,0 
Manhattan Property Management,Baruch Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Manhattan Property Management,Baruch Consolidated Total,,69 ,58 ,11 
Manhattan Property Management,Carver,AST HSG MGR,1 ,,1 
Manhattan Property Management,Carver,AST RES BLDG SP,1 ,1 ,0 
Manhattan Property Management,Carver,CARETAKER HA,22 ,18 ,4 
Manhattan Property Management,Carver,CHIEF CARETAKER,,1 ,(1)
Manhattan Property Management,Carver,HSG AST,3 ,1 ,2 
Manhattan Property Management,Carver,HSG MGR,1 ,1 ,0 
Manhattan Property Management,Carver,MAINT WORKER,5 ,5 ,0 
Manhattan Property Management,Carver,RES BLDG SUPT,1 ,1 ,0 
Manhattan Property Management,Carver,SECY,2 ,2 ,0 
Manhattan Property Management,Carver,SUPV HSG CRTKR,1 ,1 ,0 
Manhattan Property Management,Carver,SUPV HSG GDKPR,1 ,1 ,0 
Manhattan Property Management,Carver Total,,38 ,32 ,6 
Manhattan Property Management,Clinton,AST RES BLDG SP,1 ,1 ,0 
Manhattan Property Management,Clinton,CARETAKER HA,15 ,17 ,(2)
Manhattan Property Management,Clinton,HSG AST,2 ,2 ,0 
Manhattan Property Management,Clinton,HSG MGR,1 ,,1 
Manhattan Property Management,Clinton,MAINT WORKER,4 ,4 ,0 
Manhattan Property Management,Clinton,RES BLDG SUPT,1 ,1 ,0 
Manhattan Property Management,Clinton,SECY,2 ,2 ,0 
Manhattan Property Management,Clinton,SUPV HSG CRTKR,1 ,1 ,0 
Manhattan Property Management,Clinton,SUPV HSG GDKPR,1 ,1 ,0 
Manhattan Property Management,Clinton,ADM MGR-NM,,1 ,(1)
Manhattan Property Management,Clinton Total,,28 ,30 ,(2)
Manhattan Property Management,Douglass Consolidated,AST HSG MGR,2 ,1 ,1 
Manhattan Property Management,Douglass Consolidated,AST RES BLDG SP,2 ,1 ,1 
Manhattan Property Management,Douglass Consolidated,CARETAKER HA,41 ,40 ,1 
Manhattan Property Management,Douglass Consolidated,HSG AST,6 ,6 ,0 
Manhattan Property Management,Douglass Consolidated,HSG MGR,1 ,1 ,0 
Manhattan Property Management,Douglass Consolidated,MAINT WORKER,10 ,8 ,2 
Manhattan Property Management,Douglass Consolidated,RES BLDG SUPT,1 ,1 ,0 
Manhattan Property Management,Douglass Consolidated,SECY,3 ,1 ,2 
Manhattan Property Management,Douglass Consolidated,SUPV HSG CRTKR,2 ,2 ,0 
Manhattan Property Management,Douglass Consolidated,SUPV HSG GDKPR,1 ,1 ,0 
Manhattan Property Management,Douglass Consolidated Total,,69 ,62 ,7 
Manhattan Property Management,Dyckman,AST HSG MGR,1 ,1 ,0 
Manhattan Property Management,Dyckman,AST RES BLDG SP,1 ,1 ,0 
Manhattan Property Management,Dyckman,CARETAKER HA,21 ,21 ,0 
Manhattan Property Management,Dyckman,HSG AST,3 ,3 ,0 
Manhattan Property Management,Dyckman,HSG MGR,1 ,1 ,0 
Manhattan Property Management,Dyckman,MAINT WORKER,6 ,6 ,0 
Manhattan Property Management,Dyckman,RES BLDG SUPT,1 ,1 ,0 
Manhattan Property Management,Dyckman,SECY,2 ,1 ,1 
Manhattan Property Management,Dyckman,SUPV HSG CRTKR,1 ,1 ,0 
Manhattan Property Management,Dyckman,SUPV HSG GDKPR,1 ,1 ,0 
Manhattan Property Management,Dyckman Total,,38 ,37 ,1 
Manhattan Property Management,Fulton,AST RES BLDG SP,1 ,1 ,0 
Manhattan Property Management,Fulton,CARETAKER HA,17 ,16 ,1 
Manhattan Property Management,Fulton,CLERICAL ASO,1 ,1 ,0 
Manhattan Property Management,Fulton,HSG AST,2 ,2 ,0 
Manhattan Property Management,Fulton,HSG MGR,1 ,1 ,0 
Manhattan Property Management,Fulton,MAINT WORKER,5 ,4 ,1 
Manhattan Property Management,Fulton,RES BLDG SUPT,1 ,1 ,0 
Manhattan Property Management,Fulton,SECY,1 ,1 ,0 
Manhattan Property Management,Fulton,SUPV HSG CRTKR,1 ,1 ,0 
Manhattan Property Management,Fulton,SUPV HSG GDKPR,1 ,1 ,0 
Manhattan Property Management,Fulton Total,,31 ,29 ,2 
Manhattan Property Management,Gompers Consolidated,AST HSG MGR,1 ,1 ,0 
Manhattan Property Management,Gompers Consolidated,AST RES BLDG SP,2 ,2 ,0 
Manhattan Property Management,Gompers Consolidated,CARETAKER HA,27 ,23 ,4 
Manhattan Property Management,Gompers Consolidated,CLERICAL ASO,1 ,1 ,0 
Manhattan Property Management,Gompers Consolidated,HSG AST,4 ,4 ,0 
Manhattan Property Management,Gompers Consolidated,HSG MGR,1 ,1 ,0 
Manhattan Property Management,Gompers Consolidated,MAINT WORKER,7 ,7 ,0 
Manhattan Property Management,Gompers Consolidated,RES BLDG SUPT,1 ,1 ,0 
Manhattan Property Management,Gompers Consolidated,SECY,1 ,1 ,0 
Manhattan Property Management,Gompers Consolidated,SUPV HSG CRTKR,2 ,2 ,0 
