,GEO_BORO,NYCHA_BORO,CONS_TDS,CONS_NAME,DEV_NAME,TDS,AMP,TOTAL_HH,TOTAL_POP,AVG_FAMILY_SIZE,AVG_TENURE,CURRENT_APTS,TOTAL_APTS,STAIRHALLS,BLDGS,WASTE_TONS_DAY,TRASH_PRIMARY,TRASH_SECONDARY,TRASH_CY,TRASH_TONS,TRASH_ACTUAL_CY,TRASH_ACTUAL_TONS,MGP_CY,MGP_TONS,CARDBOARD_CY,CARDBOARD_TONS,PAPER_CY,PAPER_TONS,ORGANICS_CY,ORGANICS_TONS,EWASTE_CY,EWASTE_TONS,TEXTILES_CY,TEXTILES_TONS,TRASH_CHUTE_CY,TRASH_CHUTE_TONS,TRASH_CHUTE_SAUSAGE,TRASH_DROP_CY,TRASH_DROP_TONS,TRASH_DROP_BINS,CAPTURED_MGP_TONS_WEEK,CAPTURED_CARDBOARD_TONS_WEEK,CAPTURED_PAPER_TONS_WEEK,MGP_BAGS_WEEK,PAPER_BAGS_WEEK,CARDBOARD_BALES_WEEK,TONS_PER_CONTAINER
0,Bronx,Bronx,180,1010 EAST 178TH STREET,1010 EAST 178TH STREET,180,NY005011330,214,448,2.1,21.3,218,220,1.0,1,0.545,0.75,0.25,2.9827850000000007,0.14170000000000002,6.352002250000002,0.48723000000000005,1.865971,0.10355,1.0174605,0.03815,0.23614850000000004,0.03815,0.7534080000000002,0.17440000000000003,0.030792500000000007,0.005450000000000001,0.5811880000000001,0.04360000000000001,4.764001687500001,0.36542250000000004,11.315918497624706,1.5880005625000004,0.12180750000000001,5.011481650162111,0.21745499999999998,0.133525,0.05341000000000001,22.520339655172414,1.900045402298851,18.45135621761658,
1,Bronx,Bronx,308,Claremont Consolidated,1162-1176 WASHINGTON AVENUE,233,NY005013080,64,167,2.6,14.7,65,66,1.0,1,0.1625,0.75,0.25,0.8893625000000001,0.04225,1.8939456250000006,0.14527500000000002,0.5563675,0.030875000000000003,0.30337125000000004,0.011375000000000001,0.07041125000000001,0.011375000000000001,0.22464000000000003,0.052000000000000005,0.009181250000000002,0.0016250000000000001,0.17329000000000003,0.013000000000000001,1.4204592187500005,0.10895625,3.374012396080761,0.47348640625000016,0.036318750000000004,1.4942491158740239,0.06483749999999999,0.03981250000000001,0.015925000000000005,6.7147801724137945,0.5665272988505748,5.501551165803109,
2,Bronx,Bronx,067,Sotomayor,1471 WATSON AVENUE,214,NY005010670,96,158,1.6,23.2,96,96,1.0,1,0.24,0.75,0.25,1.31352,0.0624,2.7972120000000005,0.21456,0.821712,0.0456,0.4480560000000001,0.016800000000000002,0.10399200000000001,0.016800000000000002,0.331776,0.0768,0.01356,0.0024,0.255936,0.0192,2.0979090000000005,0.16092,4.9831567695962,0.6993030000000001,0.05364,2.2068910019062504,0.09576,0.058800000000000005,0.023520000000000003,9.917213793103448,0.8367172413793107,8.12536787564767,
3,Bronx,Bronx,118,Adams,ADAMS,118,NY005001180,919,"2,253",2.5,22.5,924,925,7.0,1,2.31,0.75,0.25,12.64263,0.6006,26.923165500000003,2.06514,7.908978,0.4389,4.312539,0.1617,1.0009230000000002,0.1617,3.1933440000000006,0.7392000000000001,0.13051500000000002,0.023100000000000002,2.4633840000000005,0.18480000000000002,20.192374125,1.548855,47.96288390736342,6.730791375000001,0.516285,21.241325893347657,0.9216900000000001,0.5659500000000001,0.22638,95.45318275862071,8.053403448275864,78.2066658031088,7.339787234
4,Bronx,Bronx,197,Fort Independence,BAILEY AVENUE-WEST 193RD STREET,202,NY005012020,233,459,2.0,20.0,232,233,1.0,1,0.58,0.75,0.25,3.17434,0.1508,6.759929,0.51852,1.985804,0.11019999999999999,1.0828020000000003,0.040600000000000004,0.25131400000000004,0.040600000000000004,0.801792,0.1856,0.03277,0.0058,0.618512,0.0464,5.06994675,0.38888999999999996,12.04262885985748,1.68998225,0.12963,5.333319921273437,0.23142,0.1421,0.05684,23.9666,2.0220666666666673,19.63630569948187,7.096764706
5,Bronx,Bronx,039,Pelham Parkway,BOSTON ROAD PLAZA,189,NY005010390,229,274,1.2,18.8,232,235,2.0,1,0.58,0.75,0.25,3.17434,0.1508,6.759929,0.51852,1.985804,0.11019999999999999,1.0828020000000003,0.040600000000000004,0.25131400000000004,0.040600000000000004,0.801792,0.1856,0.03277,0.0058,0.618512,0.0464,5.06994675,0.38888999999999996,12.04262885985748,1.68998225,0.12963,5.333319921273437,0.23142,0.1421,0.05684,23.9666,2.0220666666666673,19.63630569948187,
6,Bronx,Bronx,138,Boston Secor,BOSTON SECOR,138,NY005011380,535,"1,316",2.5,21.4,538,538,5.0,1,1.345,0.75,0.25,7.361185000000001,0.3497,15.676042250000002,1.20243,4.605011,0.25555,2.5109805000000005,0.09415000000000001,0.5827885000000002,0.09415000000000001,1.859328,0.4304,0.0759925,0.01345,1.434308,0.1076,11.757031687500001,0.9018225000000001,27.926441062945372,3.9190105625000005,0.3006075,12.36778498984961,0.536655,0.32952500000000007,0.13181,55.57771896551725,4.689102873563221,45.535915803108814,7.303730159
7,Bronx,Bronx,032,Bronx River,BOYNTON AVENUE REHAB,346,NY005010320,82,182,2.2,19.2,82,82,3.0,1,0.20500000000000002,0.75,0.25,1.121965,0.05330000000000001,2.3892852500000004,0.18327000000000002,0.701879,0.038950000000000005,0.38271450000000007,0.014350000000000002,0.08882650000000002,0.014350000000000002,0.28339200000000003,0.0656,0.011582500000000003,0.00205,0.21861200000000003,0.0164,1.7919639375000003,0.1374525,4.256446407363421,0.5973213125000001,0.045817500000000004,1.885052730794922,0.081795,0.050225000000000006,0.020090000000000004,8.470953448275862,0.7146959770114945,6.940418393782385,
8,Bronx,Bronx,032,Bronx River,BRONX RIVER,032,NY005010320,"1,225","2,919",2.4,22.6,1245,1246,10.0,1,3.1125000000000003,0.75,0.25,17.034712500000005,0.8092500000000001,36.27634312500001,2.7825750000000005,10.656577500000001,0.5913750000000001,5.810726250000002,0.21787500000000004,1.3486462500000003,0.21787500000000004,4.302720000000001,0.9960000000000001,0.17585625000000002,0.031125000000000003,3.31917,0.24900000000000003,27.20725734375001,2.08693125,64.62531435570072,9.069085781250003,0.6956437500000001,28.620617680971687,1.2418875000000003,0.7625625000000001,0.30502500000000005,128.61386637931037,10.851176724137934,105.37586463730572,7.16570122
9,Bronx,Bronx,032,Bronx River,BRONX RIVER ADDITION,157,NY005010320,217,232,1.1,13.3,226,226,2.0,1,0.5650000000000001,0.75,0.25,3.0922450000000006,0.14690000000000003,6.585103250000002,0.5051100000000001,1.9344470000000002,0.10735000000000001,1.0547985000000002,0.03955000000000001,0.24481450000000007,0.03955000000000001,0.7810560000000001,0.18080000000000002,0.031922500000000006,0.0056500000000000005,0.602516,0.045200000000000004,4.938827437500001,0.3788325,11.731181561757722,1.6462758125000005,0.12627750000000001,5.195389233654298,0.22543500000000002,0.13842500000000002,0.055370000000000016,23.34677413793104,1.9697718390804606,19.128470207253887,
