,CONS_TDS,Acres,PM,PM_FORMULA,APM,APM_FORMULA,SUPER,SUPER_FORMULA,ASUPER,ASUPER_FORMULA,SOG,SOG_FORMULA,HA,HA_FORMULA,SOC,SOC_FORMULA,CTG,CTJ,CJG_TOTAL,CJG_FORMULA,CTX,CTX_FORMULA,MW,MW_FORMULA,SEC,SEC_FORMULA,TOT,TOT_FORMULA
55,069,11.39,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,8,9,11,5.0,5.0,3.0,3.0,2.0,2.0,26.0,28.0
56,070,30.96,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,2.0,19,21,22,5.0,5.0,7.0,7.0,2.0,2.0,46.0,47.0
57,071,24.72,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,2.0,18,20,18,5.0,5.0,5.0,6.0,2.0,2.0,41.0,40.0
58,072,14.26,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,10,11,12,5.0,5.0,4.0,4.0,2.0,2.0,29.0,30.0
59,073,23.92,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,2.0,20,22,21,5.0,5.0,6.0,6.0,2.0,2.0,46.0,45.0
60,074,24.88,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,2.0,2.0,2.0,31,33,31,5.0,5.0,9.0,9.0,3.0,3.0,64.0,62.0
61,075,16.48,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,10,12,13,5.0,5.0,4.0,4.0,2.0,2.0,30.0,31.0
62,076,10.87,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,20,21,22,5.0,5.0,6.0,7.0,2.0,2.0,44.0,47.0
63,077,18.74,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,9,11,9,3.0,5.0,3.0,3.0,2.0,2.0,26.0,26.0
64,078,11.41,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,8,9,11,5.0,5.0,3.0,3.0,2.0,2.0,26.0,28.0
65,079,19.32,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,19,20,21,5.0,5.0,6.0,6.0,2.0,2.0,44.0,45.0
66,080,40.35,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,2.0,2.0,3.0,29,32,29,5.0,5.0,9.0,9.0,3.0,3.0,63.0,60.0
67,081,12.36,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,19,20,19,5.0,5.0,6.0,6.0,2.0,2.0,43.0,41.0
68,082,21.03,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,6.0,2.0,2.0,2.0,34,36,34,5.0,5.0,10.0,10.0,3.0,3.0,69.0,67.0
69,083,33.79,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,3.0,25,28,26,5.0,5.0,8.0,8.0,2.0,2.0,55.0,53.0
70,084,11.156639,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,19,20,20,5.0,5.0,6.0,6.0,2.0,2.0,44.0,43.0
71,086,16.46,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,20,21,21,5.0,5.0,6.0,6.0,2.0,2.0,45.0,45.0
72,087,15.05,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,2.0,2.0,1.0,25,26,28,5.0,5.0,8.0,9.0,2.0,2.0,55.0,58.0
73,088,18.49,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,14,15,16,5.0,5.0,5.0,5.0,2.0,2.0,36.0,37.0
74,089,30.1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,3.0,20,23,22,5.0,5.0,6.0,7.0,2.0,2.0,47.0,47.0
75,091,10.15,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,2.0,14,16,13,5.0,5.0,5.0,4.0,2.0,2.0,37.0,31.0
76,092,33.5,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,2.0,3.0,23,26,23,5.0,5.0,7.0,7.0,2.0,2.0,52.0,49.0
77,093,15.22,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,23,24,21,3.0,5.0,6.0,6.0,2.0,2.0,46.0,45.0
78,095,29.83,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,2.0,22,24,23,5.0,5.0,7.0,7.0,2.0,2.0,49.0,48.0
79,096,10.69,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,13,14,15,5.0,5.0,4.0,4.0,2.0,2.0,32.0,33.0
80,097,13.01,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,20,21,23,6.0,5.0,8.0,7.0,2.0,2.0,48.0,48.0
81,099,5.22,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,9,10,11,5.0,5.0,3.0,3.0,2.0,2.0,27.0,28.0
82,100,10.85,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,2.0,1.0,1.0,21,22,22,5.0,5.0,7.0,7.0,2.0,2.0,48.0,47.0
83,101,4.07,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,7,8,10,5.0,5.0,3.0,3.0,2.0,2.0,25.0,27.0
84,102,16.77,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,5.0,5.0,2.0,2.0,2.0,24,26,27,5.0,5.0,8.0,8.0,2.0,2.0,55.0,56.0
85,111,6.71,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,19,20,18,5.0,5.0,6.0,5.0,2.0,2.0,42.0,39.0
86,112,6.16,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,11,12,14,5.0,5.0,4.0,4.0,2.0,2.0,30.0,32.0
87,113,12.81,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,20,21,22,5.0,5.0,6.0,7.0,2.0,2.0,45.0,47.0
88,114,14.03,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,8,9,11,5.0,5.0,3.0,3.0,2.0,2.0,26.0,28.0
89,116,12.62,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,7,8,9,5.0,5.0,3.0,3.0,2.0,2.0,25.0,26.0
