DEVELOPMENT,BOROUGH,SEWERSHED,WORK TYPE,DWELLING_UNITS,NRR,PRIORITY,RAD/PACT,CYEAR,FYEAR,STATUS,COST,ESTIMATE ,FUNDING,IMPLEM_METHOD,RUNNING_COST_YEAR,RUNNING_COUNT,EST_YEAR
STEBBINS AVENUE-HEWITT PLACE,BRONX,0,Food Waste Disposer,119,Zone 3,2,2026+,,,,,"$204,529.58 ",,,#REF!,141706,2067
STERLING PLACE REHABS (SAINT JOHNS-STERLING),BROOKLYN,Newtown Creek,Food Waste Disposer,83,0,0,2022-2025,,,,,"$142,655.08 ",,,#REF!,141789,2067
STERLING PLACE REHABS (STERLING-BUFFALO),BROOKLYN,Newtown Creek,Food Waste Disposer,125,0,0,2022-2025,,,,,"$214,841.99 ",,,#REF!,141914,2067
STRAUS,MANHATTAN,Newtown Creek,Food Waste Disposer,267,0,0,,,,,,"$458,902.50 ",,,#REF!,142181,2067
STUYVESANT GARDENS I,BROOKLYN,Newtown Creek,Food Waste Disposer,329,0,0,2026+,,,,,"$565,464.13 ",,,#REF!,142510,2067
STUYVESANT GARDENS II,BROOKLYN,Newtown Creek,Food Waste Disposer,150,0,0,2026+,,,,,"$257,810.39 ",,,#REF!,142660,2067
SUMNER,BROOKLYN,Newtown Creek,Food Waste Disposer,1098,Zone 1,4,,,,,,"$1,887,172.07 ",,,#REF!,143758,2067
SURFSIDE GARDENS,BROOKLYN,0,Food Waste Disposer,594,0,0,,,,,,"$1,020,929.15 ",,,#REF!,144352,2068
SUTTER AVENUE-UNION STREET,BROOKLYN,0,Food Waste Disposer,100,0,0,2020-2021,,,,,"$171,873.59 ",,,#REF!,144452,2068
TAFT,MANHATTAN,0,Food Waste Disposer,1463,Zone 2,2,2026+,,,,,"$2,514,510.69 ",,,#REF!,145915,2068
TAPSCOTT STREET REHAB,BROOKLYN,0,Food Waste Disposer,155,0,0,2020-2021,,,,,"$266,404.07 ",,,#REF!,146070,2068
TAYLOR STREET-WYTHE AVENUE,BROOKLYN,Newtown Creek,Food Waste Disposer,525,0,0,,,,,,"$902,336.37 ",,,#REF!,146595,2068
TELLER AVENUE-EAST 166TH STREET,BRONX,0,Food Waste Disposer,90,Zone 1,4,2022-2025,,,,,"$154,686.24 ",,,#REF!,146685,2068
THOMAS APARTMENTS,MANHATTAN,0,Food Waste Disposer,87,Zone 4,0,,,,,,"$149,530.03 ",,,#REF!,146772,2068
THROGGS NECK,BRONX,0,Food Waste Disposer,1182,0,0,2020-2021,,,,,"$2,031,545.89 ",,,#REF!,147954,2069
THROGGS NECK ADDITION,BRONX,0,Food Waste Disposer,287,0,0,2020-2021,,,,,"$493,277.22 ",,,#REF!,148241,2069
TILDEN,BROOKLYN,0,Food Waste Disposer,998,0,0,,,,,,"$1,715,298.48 ",,,#REF!,149239,2069
TODT HILL,STATEN ISLAND,0,Food Waste Disposer,502,0,0,,,,,,"$862,805.45 ",,,#REF!,149741,2069
TOMPKINS,BROOKLYN,Newtown Creek,Food Waste Disposer,1045,Zone 1,4,2026+,,,,,"$1,796,079.07 ",,,#REF!,150786,2070
TWIN PARKS EAST (SITE 9),BRONX,0,Food Waste Disposer,219,Zone 1,4,,,,,,"$376,403.17 ",,,#REF!,151005,2070
UNION AVENUE-EAST 163RD STREET,BRONX,0,Food Waste Disposer,199,Zone 3,4,2026+,,,,,"$342,028.45 ",,,#REF!,151204,2070
UNION AVENUE-EAST 166TH STREET,BRONX,0,Food Waste Disposer,120,Zone 3,4,2026+,,,,,"$206,248.31 ",,,#REF!,151324,2070
"UNITY PLAZA (SITES 17,24,25A)",BROOKLYN,0,Food Waste Disposer,167,0,0,2026+,,,,,"$287,028.90 ",,,#REF!,151491,2070
UNITY PLAZA (SITES 4-27),BROOKLYN,0,Food Waste Disposer,460,0,0,2026+,,,,,"$790,618.54 ",,,#REF!,151951,2070
UNIVERSITY AVENUE REHAB,BRONX,0,Food Waste Disposer,230,0,0,,,,,,"$395,309.27 ",,,#REF!,152181,2070
UPACA (SITE 5),MANHATTAN,0,Food Waste Disposer,179,Zone 2,4,,,,,,"$307,653.73 ",,,#REF!,152360,2070
UPACA (SITE 6),MANHATTAN,0,Food Waste Disposer,150,Zone 2,4,,,,,,"$257,810.39 ",,,#REF!,152510,2070
VAN DYKE I,BROOKLYN,0,Food Waste Disposer,1603,0,0,2022-2025,,,,,"$2,755,133.72 ",,,#REF!,154113,2071
VAN DYKE II,BROOKLYN,0,Food Waste Disposer,111,0,0,,,,,,"$190,779.69 ",,,#REF!,154224,2071
VANDALIA AVENUE,BROOKLYN,0,Food Waste Disposer,288,0,0,,,,,,"$494,995.95 ",,,#REF!,154512,2071
VLADECK,MANHATTAN,Newtown Creek,Food Waste Disposer,1527,Zone 1,3,,,,,,"$2,624,509.79 ",,,#REF!,156039,2072
VLADECK II,MANHATTAN,Newtown Creek,Food Waste Disposer,240,Zone 1,4,,,,,,"$412,496.63 ",,,#REF!,156279,2072
WAGNER,MANHATTAN,0,Food Waste Disposer,2151,Zone 2,4,2026+,,,,,"$3,697,001.02 ",,,#REF!,158430,2072
WALD,MANHATTAN,Newtown Creek,Food Waste Disposer,1861,Zone 1,4,,,,,,"$3,198,567.60 ",,,#REF!,160291,2073
WASHINGTON,MANHATTAN,0,Food Waste Disposer,1515,Zone 2,2,2022-2025,,,,,"$2,603,884.96 ",,,#REF!,161806,2073
WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,0,Food Waste Disposer,215,0,0,2020-2021,,,,,"$369,528.23 ",,,#REF!,162021,2074
WASHINGTON HEIGHTS REHAB PHASE III (FORT WASHINGTON),MANHATTAN,0,Food Waste Disposer,88,0,0,,,,,,"$151,248.76 ",,,#REF!,162109,2074
WASHINGTON HEIGHTS REHAB PHASE III (HARLEM RIVER),MANHATTAN,0,Food Waste Disposer,14,0,0,,,,,,"$24,062.30 ",,,#REF!,162123,2074
WASHINGTON HEIGHTS REHAB PHASE IV (C),MANHATTAN,0,Food Waste Disposer,32,0,0,2020-2021,,,,,"$54,999.55 ",,,#REF!,162155,2074
WASHINGTON HEIGHTS REHAB PHASE IV (D),MANHATTAN,0,Food Waste Disposer,32,0,0,2020-2021,,,,,"$54,999.55 ",,,#REF!,162187,2074
WEBSTER,BRONX,0,Food Waste Disposer,606,Zone 1,4,,,,,,"$1,041,553.98 ",,,#REF!,162793,2074
WEEKSVILLE GARDENS,BROOKLYN,Newtown Creek,Food Waste Disposer,256,0,0,2019,,,,,"$439,996.40 ",,,#REF!,163049,2074
WEST BRIGHTON I,STATEN ISLAND,0,Food Waste Disposer,487,0,0,,,,,,"$837,024.41 ",,,#REF!,163536,2074
WEST BRIGHTON II,STATEN ISLAND,0,Food Waste Disposer,120,0,0,,,,,,"$206,248.31 ",,,#REF!,163656,2074
WEST FARMS ROAD REHAB,BRONX,0,Food Waste Disposer,208,0,0,,,,,,"$357,497.08 ",,,#REF!,163864,2074
WEST FARMS SQUARE CONVENTIONAL,BRONX,0,Food Waste Disposer,20,0,0,,,,,,"$34,374.72 ",,,#REF!,163884,2074
WEST TREMONT AVENUE-SEDGWICK AVENUE AREA,BRONX,0,Food Waste Disposer,148,Zone 4,0,,,,,,"$254,372.92 ",,,#REF!,164032,2074
WHITE,MANHATTAN,0,Food Waste Disposer,246,Zone 2,4,2026+,,,,,"$422,809.04 ",,,#REF!,164278,2074
WHITMAN,BROOKLYN,Newtown Creek,Food Waste Disposer,1651,0,0,,,,,,"$2,837,633.05 ",,,#REF!,165929,2075
WILLIAMS PLAZA,BROOKLYN,Newtown Creek,Food Waste Disposer,577,0,0,2019,,,,,"$991,710.64 ",,,#REF!,166506,2075
WILLIAMSBURG,BROOKLYN,Newtown Creek,Food Waste Disposer,1627,0,0,2020-2021,,,,,"$2,796,383.39 ",,,#REF!,168133,2076
WILSON,MANHATTAN,0,Food Waste Disposer,398,Zone 2,4,2026+,,,,,"$684,056.91 ",,,#REF!,168531,2076
WISE TOWERS,MANHATTAN,0,Food Waste Disposer,397,Zone 4,0,2020-2021,,,,,"$682,338.17 ",,,#REF!,168928,2076
WOODSIDE,QUEENS,0,Food Waste Disposer,1355,0,0,,,,,,"$2,328,887.21 ",,,#REF!,170283,2076
WOODSON,BROOKLYN,0,Food Waste Disposer,407,0,0,,,,,,"$699,525.53 ",,,#REF!,170690,2076
WSUR (BROWNSTONES),MANHATTAN,0,Food Waste Disposer,236,Zone 4,0,,,,,,"$405,621.68 ",,,#REF!,170926,2076
WSUR (SITE A) 120 WEST 94TH STREET,MANHATTAN,0,Food Waste Disposer,69,Zone 4,0,,,,,,"$118,592.78 ",,,#REF!,170995,2076
WSUR (SITE B) 74 WEST 92ND STREET,MANHATTAN,0,Food Waste Disposer,168,Zone 4,0,,,,,,"$288,747.64 ",,,#REF!,171163,2077
WSUR (SITE C) 589 AMSTERDAM AVENUE,MANHATTAN,0,Food Waste Disposer,158,0,0,,,,,,"$271,560.28 ",,,#REF!,171321,2077
WYCKOFF GARDENS,BROOKLYN,0,Food Waste Disposer,528,0,0,,,,,,"$907,492.58 ",,,#REF!,171849,2077
