DEVELOPMENT,BOROUGH,WORK TYPE,PROGRAM,AM District,RAD/PACT,UNITS,CYEAR,FYEAR,STATUS,COST,ESTIMATE,FUNDING,IMPLEM_METHOD
WAGNER,MANHATTAN,Interior Compactors,FEDERAL,11,2026+,22,,,,,"$1,582,234.50 ",,
WASHINGTON,MANHATTAN,Interior Compactors,FEDERAL,11,2022-2025,14,,,,, $-   ,,
WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,Interior Compactors,FEDERAL,12,2020-2021,7,,,,, $-   ,,
WASHINGTON HEIGHTS REHAB PHASE III (FORT WASHINGTON),MANHATTAN,Interior Compactors,FEDERAL,12,,3,,,,, $-   ,,
WASHINGTON HEIGHTS REHAB PHASE III (HARLEM RIVER),MANHATTAN,Interior Compactors,FEDERAL,12,,1,,,,, $-   ,,
WASHINGTON HEIGHTS REHAB PHASE IV (C),MANHATTAN,Interior Compactors,FEDERAL,12,2020-2021,2,,,,, $-   ,,
WASHINGTON HEIGHTS REHAB PHASE IV (D),MANHATTAN,Interior Compactors,FEDERAL,12,2020-2021,2,,,,, $-   ,,
WEEKSVILLE GARDENS,BROOKLYN,Interior Compactors,FEDERAL,8,2019,0,,,,, $-   ,,
WEST BRIGHTON I,STATEN ISLAND,Interior Compactors,FEDERAL,1,,8,,,,,"$522,364.50 ",,
WEST BRIGHTON II,STATEN ISLAND,Interior Compactors,FEDERAL,1,,0,,,,, $-   ,,
WEST FARMS ROAD REHAB,BRONX,Interior Compactors,FEDERAL,"2, 3",,7,,,,, $-   ,,
WEST FARMS SQUARE CONVENTIONAL,BRONX,Interior Compactors,FEDERAL,3,,1,,,,, $-   ,,
WHITMAN,BROOKLYN,Interior Compactors,FEDERAL,2,,32,,,,,"$2,584,064.00 ",,
WILLIAMS PLAZA,BROOKLYN,Interior Compactors,MIXED FINANCE/LLC2,1,2019,5,,,,, $-   ,,
WILLIAMSBURG,BROOKLYN,Interior Compactors,FEDERAL,1,2020-2021,136,,,,, $-   ,,
WILSON,MANHATTAN,Interior Compactors,FEDERAL,11,2026+,3,,,,,"$215,759.25 ",,
WISE TOWERS,MANHATTAN,Interior Compactors,MIXED FINANCE/LLC2,7,2020-2021,4,,,,, $-   ,,
WOODSIDE,QUEENS,Interior Compactors,FEDERAL,1,,55,,,,,"$4,198,473.13 ",,
WOODSON,BROOKLYN,Interior Compactors,FEDERAL,16,,3,,,,,"$229,007.63 ",,
WSUR (BROWNSTONES),MANHATTAN,Interior Compactors,FEDERAL,7,,0,,,,, $-   ,,
WSUR (SITE A) 120 WEST 94TH STREET,MANHATTAN,Interior Compactors,FEDERAL,7,,1,,,,,"$65,295.56 ",,
WSUR (SITE B) 74 WEST 92ND STREET,MANHATTAN,Interior Compactors,FEDERAL,7,,2,,,,,"$65,295.56 ",,
WSUR (SITE C) 589 AMSTERDAM AVENUE,MANHATTAN,Interior Compactors,FEDERAL,7,,2,,,,,"$65,295.56 ",,
WYCKOFF GARDENS,BROOKLYN,Interior Compactors,FEDERAL,6,,3,,,,,"$195,886.69 ",,
STUYVESANT GARDENS II,BROOKLYN,Interior Compactors,FEDERAL,3,2026+,1,#N/A,#N/A,#N/A,,#N/A,NRR City Expense,CPD PM Team
