GEO_BORO,NYCHA_BORO,CONS_TDS,CONS_NAME,DEV_NAME,TDS,AMP,TOTAL_HH,TOTAL_POP,AVG_FAMILY_SIZE,AVG_TENURE,CURRENT_APTS,TOTAL_APTS,STAIRHALLS
Bronx,Bronx,102,Morris,MORRIS I,102,NY005011020,"1,071","2,851",2.7,22.4,1083,1085,10
Bronx,Bronx,102,Morris,MORRIS II,502,NY005011020,791,"1,928",2.4,22.6,802,802,7
Bronx,Bronx,141,Webster,MORRISANIA,130,NY005011410,203,535,2.6,20.2,206,206,2
Bronx,Bronx,267,Morrisania Air Rights,MORRISANIA AIR RIGHTS,267,NY005012670,835,"1,685",2,19.7,841,843,5
Bronx,NGO1,121,Mott Haven,MOTT HAVEN,121,NY005001210,970,"2,445",2.5,22,992,993,9
Bronx,Bronx,47,Parkside,PARKSIDE,47,NY005010470,870,"1,703",2,22.5,879,879,20
Bronx,NGO1,24,Patterson,PATTERSON,24,NY005000240,"1,766","4,162",2.4,23.6,1789,1791,25
Bronx,Bronx,39,Pelham Parkway,PELHAM PARKWAY,39,NY005010390,"1,255","2,464",2,24.7,1265,1266,38
Bronx,Bronx,63,Throggs Neck,RANDALL AVENUE-BALCOM AVENUE,245,NY005010630,245,276,1.1,15.2,251,252,3
Bronx,Bronx,280,Sack Wern,SACK WERN,280,NY005012800,409,849,2.1,22.4,411,413,8
Bronx,Mixed Finance,93,Saint Mary's Park,SAINT MARY'S PARK,93,NY005020930,992,"2,261",2.3,21.3,1005,1007,6
Bronx,Bronx,45,Sedgwick,SEDGWICK,45,NY005010450,779,"1,455",1.9,23.2,783,786,7
Bronx,Bronx,67,Sotomayor,SOTOMAYOR HOUSES,67,NY005010670,"1,474","3,178",2.2,24.7,1495,1497,31
Bronx,Bronx,71,Soundview,SOUNDVIEW,71,NY005000710,"1,250","2,882",2.3,22.7,1258,1259,28
Bronx,Bronx,342,Union Avenue Consolidated,SOUTH BRONX AREA (SITE 402),305,NY005013420,110,372,3.4,20,112,114,19
Bronx,Bronx,342,Union Avenue Consolidated,STEBBINS AVENUE-HEWITT PLACE,353,NY005013420,118,265,2.2,23.4,119,120,14
