MAKE,MODL,YEAR,DESCRIPTION,SERIAL #,PO #, COST ,DATE,LOCATION,Tag # 
JOHN DEERE ,4052R,2016,TRACTOR,1LV4052RHGG400444,1626694,"$45,791.00 ",12/22/16,POMONOCK,MA-489684
JOHN DEERE ,4052R,2016,TRACTOR,1LV4052RJGG400386,1626694,"$45,791.00 ",12/19/16,WAGNER,MA-489665
JOHN DEERE ,4052R,2016,TRACTOR,1LV4052RKGG400452,1626694,"$45,791.00 ",12/21/16,VLADECK,MA-489686
JOHN DEERE ,4052R,2016,TRACTOR,1LV4052RLGG400393,1626694,"$45,791.00 ",12/7/16,PATTERSON,MA-489659
JOHN DEERE ,4052R,2016,TRACTOR,1LV4052RLGG400443,1626694,"$45,791.00 ",12/19/16,GLENWOOD,MA-489661
JOHN DEERE ,4052R,2016,TRACTOR,1LV4052RPGG400417,1626694,"$45,791.00 ",12/21/16,BORIQUEN PLAZA,MA-489670
JOHN DEERE ,4052R,2016,TRACTOR,1LV4052RPGG400448,1626694,"$45,791.00 ",12/30/16,POLO GROUNDS,MA-489716
JOHN DEERE ,4052R,2016,TRACTOR,1LV4052RPGG400465,1626694,"$45,791.00 ",12/30/16,CYPRESS HILLS,MA-489715
JOHN DEERE ,4052R,2016,TRACTOR,1LV4052RTGG400433,1626694,"$45,791.00 ",12/8/16,EASTCHESTER,MA-489666
JOHN DEERE ,4052R,2016,TRACTOR,1LV4052RTGG400450,1626694,"$45,791.00 ",12/21/16,PENN WORTMAN,MA-489685
JOHN DEERE ,4052R,2016,TRACTOR,1LV4052RVGG400410,1626694,"$45,791.00 ",12/19/16,INGERSOLL,MA-489664
JOHN DEERE ,4052R,2016,TRACTOR,1LV4052RVGG400438,1626694,"$45,791.00 ",12/19/16,FARRAGUT,MA-489663
JOHN DEERE ,4052R,2016,TRACTOR,1LV4052RVGG400441,1626694,"$45,791.00 ",12/20/16,SOUNDVIEW,MA-489662
JOHN DEERE,4120,2014,TRACTOR,1LV4120HADH916389,1406106,"$44,950.24 ",5/23/14,LINDEN,EQ-022358
JOHN DEERE,4120,2013,Tractor,1LV4120HCDH916091,1305050,"$43,776.36 ",4/16/13,BEACH 41ST STREET,AU-020605
JOHN DEERE,4120,2013,Tractor,1LV4120HCDH916110,1305050,"$43,776.36 ",4/16/13,LINCOLN,AU-020618
JOHN DEERE,4120,2013,Tractor,1LV4120HCDH916138,130505,"$43,776.36 ",5/3/13,O'DWYER,AU-020642
JOHN DEERE,4120,2013,Tractor,1LV4120HEDH916218,1305050,"$43,776.36 ",5/10/13,O'DWYER,AU-020654
JOHN DEERE,4120,2013,Tractor,1LV4120HEDH916221,130505,"$43,776.36 ",5/7/13,JEFFERSON,AU-020644
JOHN DEERE,4120,2013,Tractor,1LV4120HHDH916184,1305050,"$43,776.36 ",4/16/13,RIIS,AU-020606
JOHN DEERE,4120,2013,Tractor,1LV4120HHDH916220,1305050,"$43,776.36 ",4/16/13,CAREY GARDENS,AU-020620
JOHN DEERE,4120,2013,Tractor,1LV4120HJDH916128,1305050,"$43,776.36 ",4/17/13,RED HOOK WEST,AU-020621
JOHN DEERE,4120,2013,Tractor,1LV4120HKDH916239,130505,"$43,776.36 ",5/3/13,CONEY ISLAND,AU-020643
JOHN DEERE,4120,2013,Tractor,1LV4120HLDH916099,1305050,"$43,776.36 ",4/16/13,CONEY ISLAND,AU-020619
JOHN DEERE,4120,2013,Tractor,1LV4120HLDH916110,1305050,"$43,776.36 ",5/3/13,OCEAN BAY,AU-020641
JOHN DEERE,4120,2013,Tractor,1LV4120HLDH916121,1305050,"$43,776.36 ",4/19/13,HAMMEL,AU-020628
JOHN DEERE,4120,2013,Tractor,1LV4120HLDH916149,1305050,"$43,776.36 ",5/8/13,BUSHWICK,AU-020653
JOHN DEERE,4120,2013,Tractor,1LV4120HPDH916126,1305050,"$43,776.36 ",4/23/13,WEST BRIGHTON,AU-020622
JOHN DEERE,4120,2013,Tractor,1LV4120HVDH916178,1305050,"$43,776.36 ",5/20/13,AMSTERDAM,AU-020667
