,CONS,ROLE,ACTUAL,BUDGETED,CONS_TDS,CONS_NAME,TITLE_NAME,CODE_KEY,CODE_NAME
248,Brownsville,SUPV HSG CRTKR,1,1,016,BROWNSVILLE,SUPV HSG CRTKR,7.0,SOC
249,Brownsville,SUPV HSG GDKPR,1,1,016,BROWNSVILLE,SUPV HSG GDKPR,8.0,SOG
250,Bushwick Consolidated,AST HSG MGR,1,1,086,BUSHWICK CONSOLIDATED,AST HSG MGR,2.0,APM
251,Bushwick Consolidated,AST RES BLDG SP,2,2,086,BUSHWICK CONSOLIDATED,AST RES BLDG SP,6.0,ASUPER
252,Bushwick Consolidated,CARETAKER HA,19,21,086,BUSHWICK CONSOLIDATED,CARETAKER HA,10.0,CTJ
253,Bushwick Consolidated,CARETAKER HA_G,2,2,086,BUSHWICK CONSOLIDATED,CARETAKER HA_G,13.0,CTG
254,Bushwick Consolidated,CARETAKER HA_X,3,3,086,BUSHWICK CONSOLIDATED,CARETAKER HA_X,12.0,CTX
255,Bushwick Consolidated,HSG AST,4,4,086,BUSHWICK CONSOLIDATED,HSG AST,4.0,HA
256,Bushwick Consolidated,HSG MGR,1,1,086,BUSHWICK CONSOLIDATED,HSG MGR,1.0,PM
257,Bushwick Consolidated,MAINT WORKER,7,6,086,BUSHWICK CONSOLIDATED,MAINT WORKER,9.0,MW
258,Bushwick Consolidated,RES BLDG SUPT,1,1,086,BUSHWICK CONSOLIDATED,RES BLDG SUPT,5.0,SUPER
259,Bushwick Consolidated,SECY,1,2,086,BUSHWICK CONSOLIDATED,SECY,3.0,SEC
260,Bushwick Consolidated,SUPV HSG CRTKR,1,1,086,BUSHWICK CONSOLIDATED,SUPV HSG CRTKR,7.0,SOC
261,Bushwick Consolidated,SUPV HSG GDKPR,1,1,086,BUSHWICK CONSOLIDATED,SUPV HSG GDKPR,8.0,SOG
262,Butler,AST HSG MGR,1,1,113,BUTLER,AST HSG MGR,2.0,APM
263,Butler,AST RES BLDG SP,2,2,113,BUTLER,AST RES BLDG SP,6.0,ASUPER
264,Butler,CARETAKER HA,20,22,113,BUTLER,CARETAKER HA,10.0,CTJ
265,Butler,CARETAKER HA_G,1,1,113,BUTLER,CARETAKER HA_G,13.0,CTG
266,Butler,CARETAKER HA_X,3,3,113,BUTLER,CARETAKER HA_X,12.0,CTX
267,Butler,HSG AST,4,4,113,BUTLER,HSG AST,4.0,HA
268,Butler,HSG MGR,1,1,113,BUTLER,HSG MGR,1.0,PM
269,Butler,MAINT WORKER,5,6,113,BUTLER,MAINT WORKER,9.0,MW
270,Butler,RES BLDG SUPT,1,1,113,BUTLER,RES BLDG SUPT,5.0,SUPER
271,Butler,SECY,1,2,113,BUTLER,SECY,3.0,SEC
272,Butler,SUPV HSG CRTKR,1,1,113,BUTLER,SUPV HSG CRTKR,7.0,SOC
273,Butler,SUPV HSG GDKPR,0,1,113,BUTLER,SUPV HSG GDKPR,8.0,SOG
274,Carey Gardens Consolidated,AST HSG MGR,1,1,166,CAREY GARDENS CONSOLIDATED,AST HSG MGR,2.0,APM
275,Carey Gardens Consolidated,AST RES BLDG SP,1,1,166,CAREY GARDENS CONSOLIDATED,AST RES BLDG SP,6.0,ASUPER
276,Carey Gardens Consolidated,CARETAKER HA,17,15,166,CAREY GARDENS CONSOLIDATED,CARETAKER HA,10.0,CTJ
277,Carey Gardens Consolidated,CARETAKER HA_G,1,1,166,CAREY GARDENS CONSOLIDATED,CARETAKER HA_G,13.0,CTG
278,Carey Gardens Consolidated,CARETAKER HA_X,3,6,166,CAREY GARDENS CONSOLIDATED,CARETAKER HA_X,12.0,CTX
279,Carey Gardens Consolidated,CLERICAL ASO,1,1,166,CAREY GARDENS CONSOLIDATED,CLERICAL ASO,3.0,SEC
280,Carey Gardens Consolidated,HSG AST,3,3,166,CAREY GARDENS CONSOLIDATED,HSG AST,4.0,HA
281,Carey Gardens Consolidated,HSG MGR,1,1,166,CAREY GARDENS CONSOLIDATED,HSG MGR,1.0,PM
282,Carey Gardens Consolidated,MAINT WORKER,5,5,166,CAREY GARDENS CONSOLIDATED,MAINT WORKER,9.0,MW
283,Carey Gardens Consolidated,RES BLDG SUPT,1,1,166,CAREY GARDENS CONSOLIDATED,RES BLDG SUPT,5.0,SUPER
284,Carey Gardens Consolidated,SECY,1,1,166,CAREY GARDENS CONSOLIDATED,SECY,3.0,SEC
285,Carey Gardens Consolidated,SUPV HSG CRTKR,0,1,166,CAREY GARDENS CONSOLIDATED,SUPV HSG CRTKR,7.0,SOC
286,Carey Gardens Consolidated,SUPV HSG GDKPR,1,1,166,CAREY GARDENS CONSOLIDATED,SUPV HSG GDKPR,8.0,SOG
287,Carver,AST HSG MGR,1,1,058,CARVER,AST HSG MGR,2.0,APM
288,Carver,AST RES BLDG SP,1,1,058,CARVER,AST RES BLDG SP,6.0,ASUPER
289,Carver,CARETAKER HA,21,17,058,CARVER,CARETAKER HA,10.0,CTJ
290,Carver,CARETAKER HA_X,5,5,058,CARVER,CARETAKER HA_X,12.0,CTX
291,Carver,CHIEF CARETAKER,1,0,058,CARVER,CHIEF CARETAKER,12.0,CTX
292,Carver,HSG AST,3,3,058,CARVER,HSG AST,4.0,HA
293,Carver,HSG MGR,1,1,058,CARVER,HSG MGR,1.0,PM
294,Carver,MAINT WORKER,5,5,058,CARVER,MAINT WORKER,9.0,MW
295,Carver,RES BLDG SUPT,1,1,058,CARVER,RES BLDG SUPT,5.0,SUPER
296,Carver,SECY,2,2,058,CARVER,SECY,3.0,SEC
297,Carver,SUPV HSG CRTKR,1,1,058,CARVER,SUPV HSG CRTKR,7.0,SOC
298,Carver,SUPV HSG GDKPR,1,1,058,CARVER,SUPV HSG GDKPR,8.0,SOG
299,Chelsea Consolidated,AST HSG MGR,1,1,134,CHELSEA CONSOLIDATED,AST HSG MGR,2.0,APM
300,Chelsea Consolidated,AST RES BLDG SP,1,1,134,CHELSEA CONSOLIDATED,AST RES BLDG SP,6.0,ASUPER
301,Chelsea Consolidated,CARETAKER HA,17,17,134,CHELSEA CONSOLIDATED,CARETAKER HA,10.0,CTJ
302,Chelsea Consolidated,CARETAKER HA_G,1,1,134,CHELSEA CONSOLIDATED,CARETAKER HA_G,13.0,CTG
303,Chelsea Consolidated,CARETAKER HA_X,3,3,134,CHELSEA CONSOLIDATED,CARETAKER HA_X,12.0,CTX
304,Chelsea Consolidated,HSG AST,3,3,134,CHELSEA CONSOLIDATED,HSG AST,4.0,HA
305,Chelsea Consolidated,HSG MGR,1,1,134,CHELSEA CONSOLIDATED,HSG MGR,1.0,PM
306,Chelsea Consolidated,MAINT WORKER,5,5,134,CHELSEA CONSOLIDATED,MAINT WORKER,9.0,MW
307,Chelsea Consolidated,RES BLDG SUPT,1,1,134,CHELSEA CONSOLIDATED,RES BLDG SUPT,5.0,SUPER
308,Chelsea Consolidated,SECY,2,2,134,CHELSEA CONSOLIDATED,SECY,3.0,SEC
309,Chelsea Consolidated,SUPV HSG CRTKR,1,1,134,CHELSEA CONSOLIDATED,SUPV HSG CRTKR,7.0,SOC
310,Chelsea Consolidated,SUPV HSG GDKPR,1,1,134,CHELSEA CONSOLIDATED,SUPV HSG GDKPR,8.0,SOG
311,Claremont Consolidated,AST RES BLDG SP,1,1,308,CLAREMONT CONSOLIDATED,AST RES BLDG SP,6.0,ASUPER
312,Claremont Consolidated,CARETAKER HA,9,11,308,CLAREMONT CONSOLIDATED,CARETAKER HA,10.0,CTJ
313,Claremont Consolidated,CARETAKER HA_G,1,1,308,CLAREMONT CONSOLIDATED,CARETAKER HA_G,13.0,CTG
314,Claremont Consolidated,CARETAKER HA_X,2,3,308,CLAREMONT CONSOLIDATED,CARETAKER HA_X,12.0,CTX
315,Claremont Consolidated,CHIEF CARETAKER,2,2,308,CLAREMONT CONSOLIDATED,CHIEF CARETAKER,12.0,CTX
316,Claremont Consolidated,HSG AST,2,2,308,CLAREMONT CONSOLIDATED,HSG AST,4.0,HA
317,Claremont Consolidated,HSG MGR,1,1,308,CLAREMONT CONSOLIDATED,HSG MGR,1.0,PM
318,Claremont Consolidated,MAINT WORKER,3,3,308,CLAREMONT CONSOLIDATED,MAINT WORKER,9.0,MW
319,Claremont Consolidated,RES BLDG SUPT,1,1,308,CLAREMONT CONSOLIDATED,RES BLDG SUPT,5.0,SUPER
320,Claremont Consolidated,SECY,2,2,308,CLAREMONT CONSOLIDATED,SECY,3.0,SEC
321,Claremont Consolidated,SUPV HSG CRTKR,2,1,308,CLAREMONT CONSOLIDATED,SUPV HSG CRTKR,7.0,SOC
322,Claremont Consolidated,SUPV HSG GDKPR,1,1,308,CLAREMONT CONSOLIDATED,SUPV HSG GDKPR,8.0,SOG
323,Clinton,AST RES BLDG SP,1,1,123,CLINTON,AST RES BLDG SP,6.0,ASUPER
324,Clinton,CARETAKER HA,13,11,123,CLINTON,CARETAKER HA,10.0,CTJ
325,Clinton,CARETAKER HA_X,4,4,123,CLINTON,CARETAKER HA_X,12.0,CTX
326,Clinton,HSG AST,1,2,123,CLINTON,HSG AST,4.0,HA
327,Clinton,HSG MGR,0,1,123,CLINTON,HSG MGR,1.0,PM
328,Clinton,MAINT WORKER,3,4,123,CLINTON,MAINT WORKER,9.0,MW
329,Clinton,RES BLDG SUPT,1,1,123,CLINTON,RES BLDG SUPT,5.0,SUPER
330,Clinton,SECY,2,2,123,CLINTON,SECY,3.0,SEC
331,Clinton,SUPV HSG CRTKR,1,1,123,CLINTON,SUPV HSG CRTKR,7.0,SOC
332,Clinton,SUPV HSG GDKPR,1,1,123,CLINTON,SUPV HSG GDKPR,8.0,SOG
333,Cooper Park,AST RES BLDG SP,1,1,069,COOPER PARK,AST RES BLDG SP,6.0,ASUPER
334,Cooper Park,CARETAKER HA,10,9,069,COOPER PARK,CARETAKER HA,10.0,CTJ
335,Cooper Park,CARETAKER HA_G,1,1,069,COOPER PARK,CARETAKER HA_G,13.0,CTG
336,Cooper Park,CARETAKER HA_X,3,4,069,COOPER PARK,CARETAKER HA_X,12.0,CTX
337,Cooper Park,HSG AST,2,2,069,COOPER PARK,HSG AST,4.0,HA
338,Cooper Park,HSG MGR,1,1,069,COOPER PARK,HSG MGR,1.0,PM
339,Cooper Park,MAINT WORKER,2,3,069,COOPER PARK,MAINT WORKER,9.0,MW
340,Cooper Park,RES BLDG SUPT,1,1,069,COOPER PARK,RES BLDG SUPT,5.0,SUPER
341,Cooper Park,SECY,1,2,069,COOPER PARK,SECY,3.0,SEC
342,Cooper Park,SUPV HSG CRTKR,1,1,069,COOPER PARK,SUPV HSG CRTKR,7.0,SOC
343,Cooper Park,SUPV HSG GDKPR,1,1,069,COOPER PARK,SUPV HSG GDKPR,8.0,SOG
344,Cypress Hills Consolidated,AST HSG MGR,1,1,070,CYPRESS HILLS CONSOLIDATED,AST HSG MGR,2.0,APM
345,Cypress Hills Consolidated,AST RES BLDG SP,2,2,070,CYPRESS HILLS CONSOLIDATED,AST RES BLDG SP,6.0,ASUPER
346,Cypress Hills Consolidated,CARETAKER HA,20,20,070,CYPRESS HILLS CONSOLIDATED,CARETAKER HA,10.0,CTJ
347,Cypress Hills Consolidated,CARETAKER HA_G,2,2,070,CYPRESS HILLS CONSOLIDATED,CARETAKER HA_G,13.0,CTG
348,Cypress Hills Consolidated,CARETAKER HA_X,4,4,070,CYPRESS HILLS CONSOLIDATED,CARETAKER HA_X,12.0,CTX
349,Cypress Hills Consolidated,HSG AST,4,4,070,CYPRESS HILLS CONSOLIDATED,HSG AST,4.0,HA
350,Cypress Hills Consolidated,HSG MGR,1,1,070,CYPRESS HILLS CONSOLIDATED,HSG MGR,1.0,PM
351,Cypress Hills Consolidated,MAINT WORKER,4,7,070,CYPRESS HILLS CONSOLIDATED,MAINT WORKER,9.0,MW
352,Cypress Hills Consolidated,RES BLDG SUPT,1,1,070,CYPRESS HILLS CONSOLIDATED,RES BLDG SUPT,5.0,SUPER
353,Cypress Hills Consolidated,SECY,2,2,070,CYPRESS HILLS CONSOLIDATED,SECY,3.0,SEC
354,Cypress Hills Consolidated,SUPV HSG CRTKR,1,1,070,CYPRESS HILLS CONSOLIDATED,SUPV HSG CRTKR,7.0,SOC
355,Cypress Hills Consolidated,SUPV HSG GDKPR,1,1,070,CYPRESS HILLS CONSOLIDATED,SUPV HSG GDKPR,8.0,SOG
356,Douglass Consolidated,AST HSG MGR,2,2,082,DOUGLASS CONSOLIDATED,AST HSG MGR,2.0,APM
357,Douglass Consolidated,AST RES BLDG SP,0,2,082,DOUGLASS CONSOLIDATED,AST RES BLDG SP,6.0,ASUPER
358,Douglass Consolidated,CARETAKER HA,35,35,082,DOUGLASS CONSOLIDATED,CARETAKER HA,10.0,CTJ
359,Douglass Consolidated,CARETAKER HA_G,0,1,082,DOUGLASS CONSOLIDATED,CARETAKER HA_G,13.0,CTG
360,Douglass Consolidated,CARETAKER HA_X,5,5,082,DOUGLASS CONSOLIDATED,CARETAKER HA_X,12.0,CTX
361,Douglass Consolidated,CLERICAL ASO,1,0,082,DOUGLASS CONSOLIDATED,CLERICAL ASO,3.0,SEC
362,Douglass Consolidated,HSG AST,6,6,082,DOUGLASS CONSOLIDATED,HSG AST,4.0,HA
363,Douglass Consolidated,HSG MGR,1,1,082,DOUGLASS CONSOLIDATED,HSG MGR,1.0,PM
364,Douglass Consolidated,MAINT WORKER,9,10,082,DOUGLASS CONSOLIDATED,MAINT WORKER,9.0,MW
365,Douglass Consolidated,RES BLDG SUPT,1,1,082,DOUGLASS CONSOLIDATED,RES BLDG SUPT,5.0,SUPER
366,Douglass Consolidated,SECY,2,3,082,DOUGLASS CONSOLIDATED,SECY,3.0,SEC
367,Douglass Consolidated,SUPV HSG CRTKR,2,2,082,DOUGLASS CONSOLIDATED,SUPV HSG CRTKR,7.0,SOC
368,Douglass Consolidated,SUPV HSG GDKPR,1,1,082,DOUGLASS CONSOLIDATED,SUPV HSG GDKPR,8.0,SOG
369,Drew Hamilton Consolidated,AST HSG MGR,1,1,111,DREW-HAMILTON CONSOLIDATED,AST HSG MGR,2.0,APM
370,Drew Hamilton Consolidated,AST RES BLDG SP,1,1,111,DREW-HAMILTON CONSOLIDATED,AST RES BLDG SP,6.0,ASUPER
371,Drew Hamilton Consolidated,CARETAKER HA,19,17,111,DREW-HAMILTON CONSOLIDATED,CARETAKER HA,10.0,CTJ
372,Drew Hamilton Consolidated,CARETAKER HA_G,0,1,111,DREW-HAMILTON CONSOLIDATED,CARETAKER HA_G,13.0,CTG
373,Drew Hamilton Consolidated,CARETAKER HA_X,6,5,111,DREW-HAMILTON CONSOLIDATED,CARETAKER HA_X,12.0,CTX
374,Drew Hamilton Consolidated,HSG AST,3,3,111,DREW-HAMILTON CONSOLIDATED,HSG AST,4.0,HA
375,Drew Hamilton Consolidated,HSG MGR,1,1,111,DREW-HAMILTON CONSOLIDATED,HSG MGR,1.0,PM
376,Drew Hamilton Consolidated,MAINT WORKER,6,6,111,DREW-HAMILTON CONSOLIDATED,MAINT WORKER,9.0,MW
377,Drew Hamilton Consolidated,RES BLDG SUPT,1,1,111,DREW-HAMILTON CONSOLIDATED,RES BLDG SUPT,5.0,SUPER
378,Drew Hamilton Consolidated,SECY,1,2,111,DREW-HAMILTON CONSOLIDATED,SECY,3.0,SEC
379,Drew Hamilton Consolidated,SUPV HSG CRTKR,1,1,111,DREW-HAMILTON CONSOLIDATED,SUPV HSG CRTKR,7.0,SOC
380,Drew Hamilton Consolidated,SUPV HSG GDKPR,1,1,111,DREW-HAMILTON CONSOLIDATED,SUPV HSG GDKPR,8.0,SOG
381,Dyckman,AST HSG MGR,1,1,041,DYCKMAN,AST HSG MGR,2.0,APM
382,Dyckman,AST RES BLDG SP,1,1,041,DYCKMAN,AST RES BLDG SP,6.0,ASUPER
383,Dyckman,CARETAKER HA,16,16,041,DYCKMAN,CARETAKER HA,10.0,CTJ
384,Dyckman,CARETAKER HA_G,2,2,041,DYCKMAN,CARETAKER HA_G,13.0,CTG
385,Dyckman,CARETAKER HA_X,3,3,041,DYCKMAN,CARETAKER HA_X,12.0,CTX
386,Dyckman,HSG AST,3,3,041,DYCKMAN,HSG AST,4.0,HA
387,Dyckman,HSG MGR,1,1,041,DYCKMAN,HSG MGR,1.0,PM
388,Dyckman,MAINT WORKER,6,6,041,DYCKMAN,MAINT WORKER,9.0,MW
389,Dyckman,RES BLDG SUPT,1,1,041,DYCKMAN,RES BLDG SUPT,5.0,SUPER
390,Dyckman,SECY,1,2,041,DYCKMAN,SECY,3.0,SEC
391,Dyckman,SUPV HSG CRTKR,1,1,041,DYCKMAN,SUPV HSG CRTKR,7.0,SOC
392,Dyckman,SUPV HSG GDKPR,1,1,041,DYCKMAN,SUPV HSG GDKPR,8.0,SOG
393,East River,AST HSG MGR,1,1,009,EAST RIVER CONSOLIDATED,AST HSG MGR,2.0,APM
394,East River,AST RES BLDG SP,1,1,009,EAST RIVER CONSOLIDATED,AST RES BLDG SP,6.0,ASUPER
395,East River,CARETAKER HA,16,15,009,EAST RIVER CONSOLIDATED,CARETAKER HA,10.0,CTJ
396,East River,CARETAKER HA_G,1,1,009,EAST RIVER CONSOLIDATED,CARETAKER HA_G,13.0,CTG
397,East River,CARETAKER HA_X,2,5,009,EAST RIVER CONSOLIDATED,CARETAKER HA_X,12.0,CTX
398,East River,HSG AST,3,3,009,EAST RIVER CONSOLIDATED,HSG AST,4.0,HA
399,East River,HSG MGR,1,1,009,EAST RIVER CONSOLIDATED,HSG MGR,1.0,PM
400,East River,MAINT WORKER,5,5,009,EAST RIVER CONSOLIDATED,MAINT WORKER,9.0,MW
401,East River,RES BLDG SUPT,1,1,009,EAST RIVER CONSOLIDATED,RES BLDG SUPT,5.0,SUPER
402,East River,SECY,2,2,009,EAST RIVER CONSOLIDATED,SECY,3.0,SEC
403,East River,SUPV HSG CRTKR,1,1,009,EAST RIVER CONSOLIDATED,SUPV HSG CRTKR,7.0,SOC
404,East River,SUPV HSG GDKPR,0,1,009,EAST RIVER CONSOLIDATED,SUPV HSG GDKPR,8.0,SOG
405,Eastchester Gardens Consolidated,AST HSG MGR,1,1,034,EASTCHESTER GARDENS CONSOLIDATED,AST HSG MGR,2.0,APM
406,Eastchester Gardens Consolidated,AST RES BLDG SP,1,1,034,EASTCHESTER GARDENS CONSOLIDATED,AST RES BLDG SP,6.0,ASUPER
407,Eastchester Gardens Consolidated,CARETAKER HA,13,14,034,EASTCHESTER GARDENS CONSOLIDATED,CARETAKER HA,10.0,CTJ
408,Eastchester Gardens Consolidated,CARETAKER HA_X,4,5,034,EASTCHESTER GARDENS CONSOLIDATED,CARETAKER HA_X,12.0,CTX
409,Eastchester Gardens Consolidated,HSG AST,3,3,034,EASTCHESTER GARDENS CONSOLIDATED,HSG AST,4.0,HA
410,Eastchester Gardens Consolidated,HSG MGR,1,1,034,EASTCHESTER GARDENS CONSOLIDATED,HSG MGR,1.0,PM
411,Eastchester Gardens Consolidated,MAINT WORKER,5,5,034,EASTCHESTER GARDENS CONSOLIDATED,MAINT WORKER,9.0,MW
412,Eastchester Gardens Consolidated,RES BLDG SUPT,1,1,034,EASTCHESTER GARDENS CONSOLIDATED,RES BLDG SUPT,5.0,SUPER
413,Eastchester Gardens Consolidated,SECY,1,2,034,EASTCHESTER GARDENS CONSOLIDATED,SECY,3.0,SEC
414,Eastchester Gardens Consolidated,SUPV HSG CRTKR,1,1,034,EASTCHESTER GARDENS CONSOLIDATED,SUPV HSG CRTKR,7.0,SOC
415,Eastchester Gardens Consolidated,SUPV HSG GDKPR,1,1,034,EASTCHESTER GARDENS CONSOLIDATED,SUPV HSG GDKPR,8.0,SOG
416,Edenwald,AST HSG MGR,2,2,057,EDENWALD,AST HSG MGR,2.0,APM
417,Edenwald,AST RES BLDG SP,2,2,057,EDENWALD,AST RES BLDG SP,6.0,ASUPER
418,Edenwald,CARETAKER HA,28,28,057,EDENWALD,CARETAKER HA,10.0,CTJ
419,Edenwald,CARETAKER HA_G,2,2,057,EDENWALD,CARETAKER HA_G,13.0,CTG
420,Edenwald,CARETAKER HA_X,6,7,057,EDENWALD,CARETAKER HA_X,12.0,CTX
421,Edenwald,CLERICAL ASO,1,1,057,EDENWALD,CLERICAL ASO,3.0,SEC
422,Edenwald,HSG AST,2,4,057,EDENWALD,HSG AST,4.0,HA
423,Edenwald,HSG AST BILINGL,1,1,057,EDENWALD,HSG AST BILINGL,4.0,HA
424,Edenwald,HSG MGR,1,1,057,EDENWALD,HSG MGR,1.0,PM
425,Edenwald,MAINT WORKER,8,9,057,EDENWALD,MAINT WORKER,9.0,MW
426,Edenwald,RES BLDG SUPT,1,1,057,EDENWALD,RES BLDG SUPT,5.0,SUPER
427,Edenwald,SECY,2,2,057,EDENWALD,SECY,3.0,SEC
428,Edenwald,SUPV HSG CRTKR,2,2,057,EDENWALD,SUPV HSG CRTKR,7.0,SOC
429,Edenwald,SUPV HSG GDKPR,1,1,057,EDENWALD,SUPV HSG GDKPR,8.0,SOG
430,Farragut,AST HSG MGR,1,1,029,FARRAGUT,AST HSG MGR,2.0,APM
431,Farragut,AST RES BLDG SP,2,2,029,FARRAGUT,AST RES BLDG SP,6.0,ASUPER
432,Farragut,CARETAKER HA,18,18,029,FARRAGUT,CARETAKER HA,10.0,CTJ
433,Farragut,CARETAKER HA_G,1,1,029,FARRAGUT,CARETAKER HA_G,13.0,CTG
434,Farragut,CARETAKER HA_X,6,6,029,FARRAGUT,CARETAKER HA_X,12.0,CTX
435,Farragut,CITY ATTENDANT,1,1,029,FARRAGUT,CITY ATTENDANT,3.0,SEC
436,Farragut,CLERICAL ASO,1,0,029,FARRAGUT,CLERICAL ASO,3.0,SEC
437,Farragut,HSG AST,3,3,029,FARRAGUT,HSG AST,4.0,HA
438,Farragut,HSG MGR,1,1,029,FARRAGUT,HSG MGR,1.0,PM
439,Farragut,MAINT WORKER,6,6,029,FARRAGUT,MAINT WORKER,9.0,MW
440,Farragut,RES BLDG SUPT,1,1,029,FARRAGUT,RES BLDG SUPT,5.0,SUPER
441,Farragut,SECY,0,1,029,FARRAGUT,SECY,3.0,SEC
442,Farragut,SUPV HSG CRTKR,1,1,029,FARRAGUT,SUPV HSG CRTKR,7.0,SOC
443,Farragut,SUPV HSG GDKPR,1,1,029,FARRAGUT,SUPV HSG GDKPR,8.0,SOG
444,Forest Consolidation,AST HSG MGR,2,2,059,FOREST,AST HSG MGR,2.0,APM
445,Forest Consolidation,AST RES BLDG SP,2,2,059,FOREST,AST RES BLDG SP,6.0,ASUPER
446,Forest Consolidation,CARETAKER HA,29,30,059,FOREST,CARETAKER HA,10.0,CTJ
447,Forest Consolidation,CARETAKER HA_G,1,2,059,FOREST,CARETAKER HA_G,13.0,CTG
448,Forest Consolidation,CARETAKER HA_X,4,4,059,FOREST,CARETAKER HA_X,12.0,CTX
449,Forest Consolidation,HSG AST,5,5,059,FOREST,HSG AST,4.0,HA
450,Forest Consolidation,HSG MGR,1,1,059,FOREST,HSG MGR,1.0,PM
451,Forest Consolidation,MAINT WORKER,8,8,059,FOREST,MAINT WORKER,9.0,MW
452,Forest Consolidation,RES BLDG SUPT,1,1,059,FOREST,RES BLDG SUPT,5.0,SUPER
453,Forest Consolidation,SECY,1,2,059,FOREST,SECY,3.0,SEC
454,Forest Consolidation,SUPV HSG CRTKR,2,2,059,FOREST,SUPV HSG CRTKR,7.0,SOC
455,Forest Consolidation,SUPV HSG GDKPR,1,1,059,FOREST,SUPV HSG GDKPR,8.0,SOG
456,Fort Independence Consolidated,AST RES BLDG SP,1,1,197,FORT INDEPENDENCE CONSOLIDATED,AST RES BLDG SP,6.0,ASUPER
457,Fort Independence Consolidated,CARETAKER HA,8,8,197,FORT INDEPENDENCE CONSOLIDATED,CARETAKER HA,10.0,CTJ
458,Fort Independence Consolidated,CARETAKER HA_G,1,1,197,FORT INDEPENDENCE CONSOLIDATED,CARETAKER HA_G,13.0,CTG
459,Fort Independence Consolidated,CARETAKER HA_X,3,4,197,FORT INDEPENDENCE CONSOLIDATED,CARETAKER HA_X,12.0,CTX
460,Fort Independence Consolidated,CLERICAL ASO,1,1,197,FORT INDEPENDENCE CONSOLIDATED,CLERICAL ASO,3.0,SEC
461,Fort Independence Consolidated,HSG AST,2,2,197,FORT INDEPENDENCE CONSOLIDATED,HSG AST,4.0,HA
462,Fort Independence Consolidated,HSG MGR,1,1,197,FORT INDEPENDENCE CONSOLIDATED,HSG MGR,1.0,PM
463,Fort Independence Consolidated,MAINT WORKER,3,3,197,FORT INDEPENDENCE CONSOLIDATED,MAINT WORKER,9.0,MW
464,Fort Independence Consolidated,RES BLDG SUPT,2,1,197,FORT INDEPENDENCE CONSOLIDATED,RES BLDG SUPT,5.0,SUPER
465,Fort Independence Consolidated,SECY,1,1,197,FORT INDEPENDENCE CONSOLIDATED,SECY,3.0,SEC
466,Fort Independence Consolidated,SUPV HSG CRTKR,1,1,197,FORT INDEPENDENCE CONSOLIDATED,SUPV HSG CRTKR,7.0,SOC
467,Fort Independence Consolidated,SUPV HSG GDKPR,1,1,197,FORT INDEPENDENCE CONSOLIDATED,SUPV HSG GDKPR,8.0,SOG
468,Fulton,AST RES BLDG SP,1,1,136,FULTON,AST RES BLDG SP,6.0,ASUPER
469,Fulton,CARETAKER HA,12,12,136,FULTON,CARETAKER HA,10.0,CTJ
470,Fulton,CARETAKER HA_G,1,1,136,FULTON,CARETAKER HA_G,13.0,CTG
471,Fulton,CARETAKER HA_X,4,4,136,FULTON,CARETAKER HA_X,12.0,CTX
472,Fulton,CLERICAL ASO,1,1,136,FULTON,CLERICAL ASO,3.0,SEC
473,Fulton,HSG AST,2,2,136,FULTON,HSG AST,4.0,HA
474,Fulton,HSG MGR,1,1,136,FULTON,HSG MGR,1.0,PM
475,Fulton,MAINT WORKER,6,5,136,FULTON,MAINT WORKER,9.0,MW
476,Fulton,RES BLDG SUPT,1,1,136,FULTON,RES BLDG SUPT,5.0,SUPER
477,Fulton,SECY,1,1,136,FULTON,SECY,3.0,SEC
478,Fulton,SUPV HSG CRTKR,1,1,136,FULTON,SUPV HSG CRTKR,7.0,SOC
479,Fulton,SUPV HSG GDKPR,1,1,136,FULTON,SUPV HSG GDKPR,8.0,SOG
480,Garvey Consolidated,AST RES BLDG SP,1,1,252,GARVEY CONSOLIDATED,AST RES BLDG SP,6.0,ASUPER
481,Garvey Consolidated,CARETAKER HA,12,10,252,GARVEY CONSOLIDATED,CARETAKER HA,10.0,CTJ
482,Garvey Consolidated,CARETAKER HA_G,1,1,252,GARVEY CONSOLIDATED,CARETAKER HA_G,13.0,CTG
483,Garvey Consolidated,CARETAKER HA_X,4,4,252,GARVEY CONSOLIDATED,CARETAKER HA_X,12.0,CTX
484,Garvey Consolidated,CLERICAL ASO,0,1,252,GARVEY CONSOLIDATED,CLERICAL ASO,3.0,SEC
485,Garvey Consolidated,HSG AST,2,2,252,GARVEY CONSOLIDATED,HSG AST,4.0,HA
486,Garvey Consolidated,HSG MGR,2,1,252,GARVEY CONSOLIDATED,HSG MGR,1.0,PM
487,Garvey Consolidated,MAINT WORKER,4,3,252,GARVEY CONSOLIDATED,MAINT WORKER,9.0,MW
488,Garvey Consolidated,RES BLDG SUPT,1,1,252,GARVEY CONSOLIDATED,RES BLDG SUPT,5.0,SUPER
489,Garvey Consolidated,SECY,1,1,252,GARVEY CONSOLIDATED,SECY,3.0,SEC
490,Garvey Consolidated,SUPV HSG CRTKR,1,1,252,GARVEY CONSOLIDATED,SUPV HSG CRTKR,7.0,SOC
491,Garvey Consolidated,SUPV HSG GDKPR,1,1,252,GARVEY CONSOLIDATED,SUPV HSG GDKPR,8.0,SOG
492,Glenwood,AST HSG MGR,1,1,044,GLENWOOD,AST HSG MGR,2.0,APM
