ASSETNUM,LOCATION,DESCRIPTION,INSTALLDATE,SITEID,STATE,ZZTYPE
74460106,033.GND01,EXTERIOR COMPACTOR,21-Feb-08,QS,OPERATING,COMPACTOR
74459864,034.GND01,EXTERIOR COMPACTOR,20-Apr-04,BX,OPERATING,COMPACTOR
74459865,034.GND01,EXTERIOR COMPACTOR,20-Apr-04,BX,OPERATING,COMPACTOR
74460040,035.GND01,EXTERIOR COMPACTOR,8-May-07,QS,OPERATING,COMPACTOR
74460029,036.GND01,EXTERIOR COMPACTOR,30-Jan-02,BK,OPERATING,COMPACTOR
74460031,036.GND01,EXTERIOR COMPACTOR,30-Jan-02,BK,OPERATING,COMPACTOR
74460028,036.GND01,EXTERIOR COMPACTOR,30-Jan-02,BK,OPERATING,COMPACTOR
74460030,036.GND01,EXTERIOR COMPACTOR,30-Jan-02,BK,OPERATING,COMPACTOR
74460006,037.GND01,EXTERIOR COMPACTOR,6-Feb-03,MN,OPERATING,COMPACTOR
74460007,037.GND01,EXTERIOR COMPACTOR,6-Feb-03,MN,OPERATING,COMPACTOR
74460005,037.GND01,EXTERIOR COMPACTOR,6-Feb-03,MN,OPERATING,COMPACTOR
74460047,038.GND01,EXTERIOR COMPACTOR,2-Jul-99,MN,OPERATING,COMPACTOR
74460049,038.GND01,EXTERIOR COMPACTOR,2-Jul-99,MN,OPERATING,COMPACTOR
