DEV_NAME,COUNT,ADDRESS,,,,,,,,,,
EASTCHESTER,2,1130 BURKE AVE,,,,,,,,,,
EDENWALD,4,1145 EAST 229TH ST ,,,,,,,,,,
FORT INDEPENDENCE,2,3340 BAILEY AVE,,,,,,,,,,
HIGHBRIDGE,2,1105 UNIVERSITY AVE,,,,,,,,,,
MONROE,2,1779 STORY AVE,,,,,,,,,,
MURPHY CONSOLIDATED,2,1010 EAST 178TH ST,,,,,,,,,,
PARKSIDE,2,2963 WHITE PLAINS,,,,,,,,,,
PELHAM,2,2420 BRONXWOOD AVE,,,,,,,,,,
SACKWERN,2,1710 LAFAYETTE ST ,,,,,,,,,,
SEDGEWICK,2,162 WEST 174TH ST ,,,,,,,,,,
SOUDVIEW,2,1720 SEWARD AVE,,,,,,,,,,
THROGGS NECK,3,2824 SCHLY AVE,,,,,,,,,,
GUNHILL,1,3415 HOLLAND ,,,,,,,,,,
