,DEV_NAME,COUNT,ADDRESS,STD_NAME
93,SOTOMAYER / BRONXDALE,2,1090 ROSEDALE AVE,BROWN
94,CASTLE HILL,5,645 CASTLE HILL AVE,CASTLE HILL
95,EASTCHESTER,2,1130 BURKE AVE,EASTCHESTER GARDENS
96,EDENWALD,4,1145 EAST 229TH ST ,EDENWALD
97,FORT INDEPENDENCE,2,3340 BAILEY AVE,INDEPENDENCE
98,HIGHBRIDGE,2,1105 UNIVERSITY AVE,HIGHBRIDGE GARDENS
99,MONROE,2,1779 STORY AVE,MONROE
100,MURPHY CONSOLIDATED,2,1010 EAST 178TH ST,LINDEN
101,PARKSIDE,2,2963 WHITE PLAINS,PARKSIDE
102,PELHAM,2,2420 BRONXWOOD AVE,PELHAM PARKWAY
103,SACKWERN,2,1710 LAFAYETTE ST ,SACK WERN
104,SEDGEWICK,2,162 WEST 174TH ST ,SEDGWICK
105,SOUDVIEW,2,1720 SEWARD AVE,SOUNDVIEW
106,THROGGS NECK,3,2824 SCHLY AVE,THROGGS NECK
107,GUNHILL,1,3415 HOLLAND ,GUN HILL
